first,second,ans
генри киссинджер,сша,pos
генри киссинджер,ред,pos
генри киссинджер,стивен уолт,pos
генри киссинджер,россия,pos
генри киссинджер,миршаймер,pos
генри киссинджер,америка,pos
генри киссинджер,джон миршаймер,pos
джон айкенберри,вашингтон,pos
джон айкенберри,москва,neg
джон айкенберри,ред,neg
вашингтон,сша,pos
вашингтон,ссср,pos
вашингтон,москва,neg
вашингтон,путин,neg
вашингтон,израиль,neg
вашингтон,прибалтика,neg
вашингтон,ред,neg
вашингтон,нато,pos
вашингтон,россия,neg
вашингтон,европа,neg
вашингтон,япония,pos
вашингтон,восточный европа,pos
вашингтон,украина,pos
вашингтон,польша,neg
вашингтон,америка,pos
вашингтон,сирия,pos
politico,ред,neg
politico,россия,neg
politico,кремль,neg
politico,сирия,neg
куб,обама,pos
куб,ближний восток,pos
куб,иран,neg
куб,америка,pos
куб,транстихоокеанский партнерство,pos
дональд трамп,чехия,neg
дональд трамп,украина,neg
дональд трамп,польша,neg
дональд трамп,сирия,neg
джордж кеннана,foreign affairs,neg
джордж кеннана,исток советский поведение,neg
джордж кеннана,кеннана,neg
юваля вебер,андрей крик,pos
foreign affairs,исток советский поведение,neg
foreign affairs,кеннана,neg
сша,клинтон,neg
сша,москва,neg
сша,бел дом,neg
сша,путин,pos
сша,запад,neg
сша,обама,pos
сша,ред,pos
сша,стивен уолт,pos
сша,россия,neg
сша,соединить штат,pos
сша,миршаймер,neg
сша,китай,neg
сша,хиллари клинтон,pos
сша,украина,pos
сша,америка,pos
сша,джон миршаймер,pos
сша,победа,pos
сша,сирия,neg
сша,realpolitik,neg
башар асад,москва,pos
башар асад,игил,pos
башар асад,асад,pos
башар асад,сирия,pos
исток советский поведение,кеннана,neg
демократический партия,обама,pos
вермонт,путин,neg
вермонт,ястреб,pos
вермонт,нато,pos
вермонт,бернуть сандерс,pos
центральный европа,москва,neg
центральный европа,нато,neg
центральный европа,россия,pos
центральный европа,европа,pos
ссср,кеннана,neg
ссср,ред,neg
ссср,соединить штат,pos
ссср,материальный слабость,neg
ссср,советский союз,pos
ссср,америка,pos
афганистан,клинтон,pos
афганистан,путин,pos
афганистан,россия,pos
афганистан,снв,pos
афганистан,ирак,pos
афганистан,америка,pos
клинтон,путин,pos
клинтон,обама,pos
клинтон,ред,pos
клинтон,россия,neg
клинтон,снв,neg
клинтон,хиллари клинтон,pos
клинтон,ирак,neg
клинтон,америка,pos
american enterprise institute,москва,neg
american enterprise institute,путин,neg
american enterprise institute,запад,neg
american enterprise institute,ред,neg
american enterprise institute,ястреб,pos
american enterprise institute,россия,neg
american enterprise institute,грузия,pos
american enterprise institute,украина,pos
american enterprise institute,америка,neg
american enterprise institute,heritage foundation,neg
москва,игил,pos
москва,путин,neg
москва,прибалтика,pos
москва,запад,pos
москва,асад,pos
москва,ред,neg
москва,ястреб,pos
москва,эвелина фаркас,pos
москва,нато,neg
москва,россия,neg
москва,соединить штат,pos
москва,европа,pos
москва,грузия,pos
москва,пентагон,pos
москва,восточный европа,neg
москва,украина,pos
москва,польша,pos
москва,америка,pos
москва,сирия,neg
москва,heritage foundation,neg
андрей цыганков,запад,pos
андрей цыганков,ред,neg
андрей цыганков,россия,neg
игил,асад,neg
игил,россия,pos
игил,сирия,neg
бел дом,путин,pos
бел дом,россия,pos
путин,запад,neg
путин,асад,pos
путин,обама,pos
путин,ред,pos
путин,ястреб,pos
путин,флорида,pos
путин,нато,neg
путин,россия,pos
путин,маркий рубио,pos
путин,грузия,neg
путин,снв,pos
путин,ирак,pos
путин,украина,neg
путин,америка,neg
путин,heritage foundation,neg
путин,бернуть сандерс,pos
кпсс,ред,pos
кпсс,россия,pos
кпсс,михаил горбачёвый,pos
кпсс,горбачёвый,neg
кпсс,цк,pos
израиль,ред,pos
израиль,россия,pos
израиль,япония,neg
израиль,польша,pos
израиль,америка,neg
прибалтика,ред,pos
прибалтика,нато,neg
прибалтика,европа,neg
прибалтика,восточный европа,neg
прибалтика,польша,pos
запад,ред,neg
запад,ястреб,neg
запад,россия,neg
запад,грузия,neg
запад,украина,neg
запад,америка,neg
запад,heritage foundation,neg
маккейн,обама,pos
маккейн,нато,neg
маккейн,россия,neg
имиджевой проблема,россия,pos
асад,флорида,pos
асад,нато,pos
асад,маркий рубио,pos
асад,сирия,pos
обама,ред,neg
обама,ближний восток,pos
обама,ястреб,pos
обама,нато,neg
обама,россия,neg
обама,китай,neg
обама,иран,neg
обама,барак обама,pos
обама,хиллари клинтон,pos
обама,украина,pos
обама,америка,neg
обама,сирия,neg
обама,транстихоокеанский партнерство,pos
кеннана,ред,pos
кеннана,советский союз,neg
кеннана,победа,pos
ред,ястреб,pos
ред,стивен уолт,pos
ред,нато,neg
ред,россия,pos
ред,соединить штат,pos
ред,европа,neg
ред,грузия,neg
ред,миршаймер,neg
ред,китай,pos
ред,материальный слабость,pos
ред,япония,pos
ред,михаил горбачёвый,neg
ред,горбачёвый,neg
ред,хиллари клинтон,pos
ред,советский союз,pos
ред,кремль,pos
ред,восточный европа,neg
ред,украина,neg
ред,польша,pos
ред,америка,neg
ред,джон миршаймер,neg
ред,победа,pos
ред,сирия,neg
ред,heritage foundation,neg
ред,realpolitik,neg
ред,цк,pos
ближний восток,иран,neg
ближний восток,америка,pos
ближний восток,транстихоокеанский партнерство,pos
ястреб,нато,neg
ястреб,россия,neg
ястреб,соединить штат,neg
ястреб,грузия,pos
ястреб,украина,neg
ястреб,америка,pos
ястреб,heritage foundation,neg
ястреб,бернуть сандерс,pos
эвелина фаркас,россия,pos
эвелина фаркас,пентагон,pos
эвелина фаркас,украина,neg
стивен уолт,россия,neg
стивен уолт,миршаймер,neg
стивен уолт,америка,pos
стивен уолт,джон миршаймер,neg
флорида,нато,neg
флорида,маркий рубио,neg
нато,россия,neg
нато,соединить штат,pos
нато,маркий рубио,neg
нато,европа,pos
нато,варшавский договор,pos
нато,восточный европа,pos
нато,польша,pos
нато,бернуть сандерс,pos
россия,соединить штат,neg
