first,second,ans
кнр,турция,pos
кнр,южный корея,neg
кнр,иран,neg
кнр,япония,neg
кнр,индия,neg
кнр,тегеран,pos
вашингтон,самбук,neg
вашингтон,ес,neg
вашингтон,иран,neg
самбук,соединить штат,pos
самбук,ес,neg
самбук,иран,pos
самбук,госказначейство транспортный фирма,neg
швейцария,сша,neg
швейцария,ири,neg
швейцария,ес,pos
швейцария,vitol,neg
швейцария,иран,neg
швейцария,reuters,neg
швейцария,совбез,pos
швейцария,эбрахим азизя,pos
швейцария,нинк,pos
нпз,иранец,neg
нпз,ес,neg
нпз,ома,pos
нпз,россия,neg
нпз,иран,neg
нпз,казахстан,neg
соединить штат,ири,neg
соединить штат,ес,neg
соединить штат,соединить штат,pos
соединить штат,иран,neg
соединить штат,госказначейство транспортный фирма,neg
сша,камбис,neg
сша,ири,neg
сша,исламский республика,neg
сша,ес,pos
сша,ияп,neg
сша,иран,neg
сша,совбез,pos
сша,тегеран,pos
камбис,димитрис камбис,neg
камбис,ес,pos
камбис,иран,neg
камбис,фуджейра,neg
оман,ири,neg
оман,персидский залив,pos
оман,ома,pos
оман,оаэ,pos
кипр,португалия,pos
кипр,турция,pos
кипр,греция,neg
сб оон,ес,neg
сб оон,тегеран,neg
центральный азия,ири,neg
центральный азия,турция,neg
центральный азия,ес,pos
центральный азия,китай,neg
центральный азия,эквадор,pos
центральный азия,венесуэла,pos
центральный азия,ирак,neg
центральный азия,сирия,pos
димитрис камбис,ес,pos
димитрис камбис,иран,neg
димитрис камбис,фуджейра,neg
афганистан,иранец,pos
афганистан,ири,pos
афганистан,ес,pos
афганистан,иран,pos
афганистан,ирак,pos
афганистан,малайзия,pos
португалия,турция,pos
португалия,греция,neg
иранец,запад,neg
иранец,дели,neg
иранец,ес,neg
иранец,евразия,neg
иранец,ома,pos
иранец,россия,pos
иранец,иран,neg
иранец,ирак,neg
иранец,малайзия,pos
иранец,казахстан,neg
ири,запад,neg
ири,турция,pos
ири,исламский республика,neg
ири,персидский залив,pos
ири,ес,neg
ири,ома,pos
ири,центробанк,neg
ири,mercuria,neg
ири,совет,pos
ири,vitol,neg
ири,gunvor,neg
ири,бразилия,pos
ири,китай,neg
ири,иран,neg
ири,анкара,pos
ири,эквадор,neg
ири,совбез,pos
ири,trafigura,neg
ири,эбрахим азизя,neg
ири,белоруссия,pos
ири,венесуэла,neg
ири,ирак,neg
ири,малайзия,pos
ири,соцпр,neg
ири,нинк,pos
ири,цб,neg
ири,оаэ,pos
ири,сирия,pos
ири,али бабакан,pos
ири,тегеран,pos
запад,ес,neg
запад,иран,pos
запад,тегеран,neg
дели,иран,neg
нинк и национальный иранский газовый компания,турция,pos
нинк и национальный иранский газовый компания,нигк,pos
нинк и национальный иранский газовый компания,иран,neg
нинк и национальный иранский газовый компания,нинк,pos
турция,ес,pos
турция,южный корея,pos
турция,нигк,pos
турция,россия,neg
турция,бразилия,pos
турция,греция,pos
турция,китай,neg
турция,иран,neg
турция,анкара,pos
турция,япония,pos
турция,эквадор,pos
турция,белоруссия,pos
турция,венесуэла,pos
турция,ирак,neg
турция,малайзия,neg
турция,индия,neg
турция,нинк,pos
турция,сирия,neg
турция,али бабакан,pos
исламский республика,ес,pos
исламский республика,иран,neg
персидский залив,ес,neg
персидский залив,индийский океан,neg
персидский залив,ома,pos
персидский залив,иран,neg
персидский залив,оаэ,pos
персидский залив,персидский залив,pos
ес,индийский океан,neg
ес,ома,pos
ес,южный корея,pos
ес,центробанк,pos
ес,mercuria,neg
ес,кеннет риджок,neg
ес,совет,neg
ес,россия,neg
ес,vitol,neg
ес,gunvor,neg
ес,бразилия,pos
ес,китай,neg
ес,ияп,neg
ес,swift,neg
ес,международный энергетический агентство,neg
ес,ксирый,neg
ес,иран,neg
ес,анкара,neg
ес,эквадор,pos
ес,совбез,neg
ес,trafigura,neg
ес,белоруссия,pos
ес,венесуэла,pos
ес,ирак,neg
ес,малайзия,neg
ес,индия,neg
ес,соцпр,neg
ес,цб,pos
ес,сирия,neg
ес,али бабакан,neg
ес,тегеран,neg
ес,фуджейра,pos
ес,казахстан,neg
евразия,иран,neg
ома,россия,neg
ома,ияп,neg
ома,иран,neg
ома,оаэ,pos
ома,тегеран,pos
ома,казахстан,neg
южный корея,китай,neg
южный корея,иран,neg
южный корея,япония,pos
южный корея,индия,neg
южный корея,тегеран,neg
центробанк,иран,neg
нигк,иран,neg
нигк,нинк,pos
mercuria,vitol,neg
mercuria,gunvor,neg
mercuria,trafigura,neg
совет,иран,neg
совет,соцпр,pos
россия,китай,pos
россия,иран,pos
россия,индия,pos
россия,казахстан,pos
vitol,gunvor,neg
vitol,иран,neg
vitol,reuters,neg
vitol,trafigura,neg
gunvor,trafigura,neg
бразилия,иран,neg
бразилия,эквадор,pos
бразилия,белоруссия,pos
бразилия,венесуэла,pos
бразилия,малайзия,neg
бразилия,сирия,pos
китай,иран,neg
китай,япония,neg
китай,эквадор,neg
китай,венесуэла,neg
китай,индия,neg
китай,сирия,neg
ияп,иран,neg
ияп,тегеран,neg
swift,иран,neg
международный энергетический агентство,иран,pos
иран,анкара,pos
иран,центральный банк,neg
иран,япония,neg
иран,reuters,neg
иран,эквадор,neg
иран,белоруссия,pos
