first,second,ans
исламский государство,ближний восток,pos
исламский государство,кадыров,neg
ссср,украина,pos
муртаза рахим,рахимов,neg
муртаза рахим,урал,pos
муртаза рахим,ельцин,pos
муртаза рахим,башнефть,pos
муртаза рахим,башкортостан,pos
муртаза рахим,путин,neg
владимир евтушенков,forbes,neg
владимир евтушенков,россия,neg
владимир евтушенков,евтушенков,neg
владимир евтушенков,башнефть,pos
владимир евтушенков,путин,neg
лондон,forbes,neg
лондон,михаил фридман,neg
лондон,россия,neg
лондон,альфа,pos
лондон,фридман,pos
ближний восток,кадыров,neg
майдан,киев,pos
майдан,виктор янук,pos
майдан,россия,neg
майдан,запад,pos
майдан,москва,neg
майдан,крым россия,neg
майдан,янукович,pos
майдан,нато,neg
майдан,крым,neg
шамал,кирилл шамал,neg
шамал,юрий,pos
шамал,катерина,neg
шамал,геннадий тимченко,pos
шамал,михаил ковальчук,neg
шамал,тимченко,neg
шамал,ротенберг,pos
шамал,путин,pos
шамал,приблизить путин,pos
стокгольм,киев,neg
стокгольм,стамбул,pos
стокгольм,вена,neg
стокгольм,берлин,neg
стокгольм,кадыров,neg
стокгольм,осло,pos
николай патрушев,совет безопасность,neg
николай патрушев,сергей иван,neg
николай патрушев,федеральный служба безопасность,pos
николай патрушев,патрушев,pos
николай патрушев,служба внешний разведка,neg
николай патрушев,александр бортник,neg
николай патрушев,николай патрушев,pos
николай патрушев,иванов,neg
киев,стамбул,neg
киев,вена,neg
киев,берлин,pos
киев,кадыров,neg
киев,москва,pos
киев,осло,pos
омар чеченец,иго,neg
омар чеченец,владимир путин,neg
омар чеченец,россия,neg
омар чеченец,кадыров,neg
омар чеченец,сирия,neg
омар чеченец,путин,neg
омар чеченец,instagram,neg
forbes,михаил фридман,neg
forbes,россия,neg
forbes,евтушенков,neg
forbes,геннадий тимченко,pos
forbes,тимченко,pos
forbes,башнефть,pos
forbes,альфа,neg
forbes,ротенберг,neg
forbes,фридман,pos
forbes,путин,neg
forbes,аркадий ротенберг,neg
алексей навальный,навальный,pos
алексей навальный,сергей собянин,pos
алексей навальный,москва,neg
алексей навальный,путин,neg
англия,нато,pos
навальный,сергей собянин,neg
навальный,москва,neg
навальный,путин,neg
виктор янук,янукович,pos
совет безопасность,сергей иван,neg
совет безопасность,федеральный служба безопасность,pos
совет безопасность,патрушев,pos
совет безопасность,служба внешний разведка,neg
совет безопасность,александр бортник,neg
совет безопасность,иванов,neg
кирилл шамал,юрий,neg
кирилл шамал,катерина,neg
кирилл шамал,геннадий тимченко,neg
кирилл шамал,михаил ковальчук,pos
кирилл шамал,тимченко,pos
кирилл шамал,ротенберг,neg
кирилл шамал,путин,pos
кирилл шамал,приблизить путин,pos
стамбул,вена,neg
стамбул,берлин,neg
стамбул,кадыров,neg
стамбул,осло,pos
сергей собянин,москва,neg
сергей собянин,путин,pos
сорос,путин,neg
рахимов,россия,pos
рахимов,евтушенков,neg
рахимов,урал,neg
рахимов,ельцин,neg
рахимов,башнефть,pos
рахимов,башкортостан,pos
рахимов,путин,pos
владимир гусинский,нтв,pos
владимир гусинский,россия,neg
владимир гусинский,путин,neg
джек риппер,россия,neg
джек риппер,патрушев,pos
джек риппер,сша,neg
джек риппер,доктор стренджлав,pos
юрий,катерина,neg
юрий,геннадий тимченко,pos
юрий,михаил ковальчук,neg
юрий,тимченко,neg
юрий,ротенберг,neg
юрий,путин,pos
юрий,приблизить путин,pos
катерина,геннадий тимченко,neg
катерина,михаил ковальчук,pos
катерина,тимченко,pos
катерина,ротенберг,pos
катерина,путин,pos
катерина,приблизить путин,pos
иго,владимир путин,neg
иго,россия,pos
иго,кадыров,neg
иго,сирия,neg
иго,путин,pos
иго,instagram,neg
нтв,россия,neg
нтв,путин,neg
михаил фридман,россия,neg
михаил фридман,олег дерипаск,pos
михаил фридман,борис немцов,pos
михаил фридман,альфа,pos
михаил фридман,михаил фридман,neg
михаил фридман,фридман,pos
михаил фридман,немцов,pos
михаил фридман,москва,neg
михаил фридман,роман абрам,neg
михаил фридман,борис березовский,pos
владимир путин,россия,neg
владимир путин,кадыров,neg
владимир путин,сирия,pos
владимир путин,путин,neg
владимир путин,instagram,neg
роснефть,путин,pos
россия,евтушенков,neg
россия,урал,neg
россия,олбрайт,pos
россия,мадлен олбрайт,pos
россия,тимченко,neg
россия,дмитрий каменщик,neg
россия,запад,neg
россия,ельцин,neg
россия,башнефть,pos
россия,альфа,neg
россия,ротенберг,pos
россия,аркадия ротенберг,pos
россия,медведев,pos
россия,кадыров,pos
россия,сибирь,neg
россия,каменщик,pos
россия,сирия,neg
россия,семья ельцин,neg
россия,патрушев,pos
россия,фридман,pos
россия,сша,neg
россия,дмитрия медведев,neg
россия,путин,pos
россия,доктор стренджлав,neg
россия,крым россия,pos
россия,аркадий ротенберг,pos
россия,домодедово,neg
россия,нато,neg
россия,gunvor,neg
россия,приблизить путин,pos
россия,instagram,neg
россия,крым,pos
евтушенков,урал,pos
евтушенков,ельцин,neg
евтушенков,башнефть,neg
евтушенков,семья ельцин,neg
евтушенков,башкортостан,neg
евтушенков,москва,neg
евтушенков,путин,neg
урал,ельцин,pos
урал,башнефть,neg
урал,башкортостан,neg
урал,путин,pos
геннадий тимченко,михаил ковальчук,pos
геннадий тимченко,тимченко,pos
геннадий тимченко,ротенберг,pos
геннадий тимченко,путин,pos
геннадий тимченко,приблизить путин,pos
сергей иван,федеральный служба безопасность,pos
сергей иван,запад,neg
сергей иван,патрушев,pos
сергей иван,служба внешний разведка,neg
сергей иван,александр бортник,neg
сергей иван,иванов,neg
сергей иван,кгб,pos
михаил ковальчук,тимченко,pos
михаил ковальчук,ротенберг,neg
михаил ковальчук,путин,neg
михаил ковальчук,приблизить путин,neg
олбрайт,мадлен олбрайт,neg
олбрайт,сибирь,neg
олбрайт,патрушев,pos
олбрайт,сша,neg
олбрайт,кгб,neg
мадлен олбрайт,сибирь,neg
мадлен олбрайт,патрушев,pos
мадлен олбрайт,сша,pos
тимченко,ротенберг,neg
тимченко,путин,pos
тимченко,gunvor,neg
тимченко,приблизить путин,pos
федеральный служба безопасность,патрушев,pos
федеральный служба безопасность,служба внешний разведка,neg
федеральный служба безопасность,александр бортник,pos
федеральный служба безопасность,иванов,neg
олег гордиевский,великобритания,pos
олег гордиевский,кремль,neg
олег гордиевский,иванов,neg
дмитрий каменщик,каменщик,neg
дмитрий каменщик,домодедово,pos
чечня,кадыров,neg
чечня,рамзан кадыр,pos
чечня,нато,neg
олег дерипаск,фридман,pos
олег дерипаск,роман абрам,neg
олег дерипаск,борис березовский,pos
грозный,кремль,neg
грозный,кадыров,neg
вена,берлин,pos
вена,кадыров,neg
вена,осло,pos
запад,ротенберг,neg
запад,москва,neg
запад,путин,neg
запад,крым россия,neg
запад,нато,pos
запад,иванов,neg
запад,кгб,pos
запад,крым,neg
берлин,кадыров,neg
берлин,осло,pos
борис немцов,фридман,pos
борис немцов,немцов,pos
борис немцов,москва,neg
ельцин,башнефть,neg
ельцин,семья ельцин,neg
ельцин,башкортостан,neg
ельцин,путин,neg
башнефть,башкортостан,pos
башнефть,путин,pos
альфа,кадыров,neg
альфа,фридман,pos
альфа,москва,neg
альфа,авено,neg
красноярск,москва,pos
ротенберг,аркадия ротенберг,pos
ротенберг,москва,neg
ротенберг,путин,pos
ротенберг,аркадий ротенберг,pos
ротенберг,приблизить путин,pos
дмитрий рогозин,путин,neg
аркадия ротенберг,путин,neg
медведев,каменщик,pos
медведев,немцов,pos
медведев,дмитрия медведев,pos
медведев,путин,neg
медведев,домодедово,pos
великобритания,кремль,neg
великобритания,фридман,pos
великобритания,иванов,neg
кремль,кадыров,neg
кремль,путин,pos
кремль,иванов,pos
кадыров,сирия,neg
кадыров,немцов,pos
кадыров,путин,pos
кадыров,рамзан кадыр,pos
кадыров,фонд,neg
кадыров,нато,pos
кадыров,instagram,neg
кадыров,ахмад кадыров,pos
кадыров,осло,pos
сибирь,патрушев,pos
сибирь,сша,neg
каменщик,домодедово,neg
сирия,путин,pos
сирия,instagram,neg
семья ельцин,семья ельцин,neg
семья ельцин,путин,pos
башкортостан,путин,pos
патрушев,сша,neg
патрушев,служба внешний разведка,neg
патрушев,доктор стренджлав,neg
патрушев,александр бортник,neg
патрушев,иванов,neg
фридман,немцов,pos
фридман,москва,neg
фридман,роман абрам,pos
фридман,борис березовский,pos
немцов,москва,neg
немцов,путин,neg
сша,доктор стренджлав,pos
дмитрия медведев,путин,neg
москва,авено,neg
москва,путин,neg
путин,асад,pos
путин,снеговой,pos
путин,запасть,neg
путин,нато,neg
путин,приблизить путин,pos
путин,instagram,neg
путин,иванов,neg
путин,владимир владимир,neg
путин,крым,pos
служба внешний разведка,александр бортник,neg
служба внешний разведка,иванов,neg
крым россия,нато,pos
крым россия,крым,neg
рамзан кадыр,нато,neg
асад,снеговой,pos
александр бортник,иванов,neg
снеговой,ведомость,neg
фонд,ахмад кадыров,neg
запасть,иванов,neg
роман абрам,борис березовский,pos
нато,крым,neg
иванов,кгб,neg
