first,second,ans
рийгиког,свен миксер,pos
рийгиког,владимир путин,neg
рийгиког,путин,pos
рийгиког,россия,pos
рийгиког,миксер,neg
рийгиког,балтия,pos
свен миксер,владимир путин,neg
свен миксер,путин,pos
свен миксер,россия,pos
свен миксер,миксер,neg
свен миксер,балтия,neg
ближний восток,россия,neg
ближний восток,балтия,pos
хельсинки,эстония,pos
хельсинки,миксер,neg
сша,андрес восман,neg
сша,восман,pos
сша,путин,pos
сша,нато,neg
политика путин,путин,neg
политика путин,россия,neg
эстония,андрес восман,pos
эстония,служба разведка,neg
эстония,восман,pos
эстония,нато,neg
эстония,россия,neg
эстония,миксер,neg
владимир путин,путин,neg
владимир путин,россия,neg
владимир путин,миксер,neg
владимир путин,балтия,pos
андрес восман,служба разведка,pos
андрес восман,восман,pos
андрес восман,путин,neg
андрес восман,нато,pos
служба разведка,восман,neg
крым,сирия,neg
восман,путин,neg
восман,нато,pos
восман,россия,pos
восман,миксер,neg
путин,нато,neg
путин,россия,pos
путин,миксер,neg
путин,балтия,pos
нато,россия,neg
нато,миксер,neg
россия,миксер,neg
россия,балтия,pos
миксер,балтия,pos
