first,second,ans
комитет по право человек,huffington post,neg
комитет по право человек,путин,pos
комитет по право человек,бенедикт бернер,pos
комитет по право человек,бернер,pos
башар асад,путин,pos
башар асад,владимир путин,pos
башар асад,сирия,pos
сша,запад,neg
сша,обама,pos
сша,the atlantic,neg
сша,россия,neg
сша,бенедикт бернер,pos
сша,теория обама,pos
сша,доктрина обама,pos
сша,бернер,pos
сша,украина,pos
huffington post,путин,neg
huffington post,бенедикт бернер,pos
huffington post,бернер,pos
москва,россия,neg
москва,европа,pos
москва,грузия,pos
москва,украина,pos
москва,европейский союз,pos
путин,запад,neg
путин,владимир путин,neg
путин,россия,pos
путин,бенедикт бернер,pos
путин,иран,pos
путин,бернер,pos
путин,сирия,neg
запад,обама,pos
запад,the atlantic,neg
запад,россия,neg
запад,бенедикт бернер,pos
запад,доктрина обама,neg
запад,бернер,pos
обама,the atlantic,neg
обама,россия,neg
обама,бенедикт бернер,pos
обама,теория обама,pos
обама,доктрина обама,pos
обама,бернер,pos
обама,украина,pos
the atlantic,россия,neg
the atlantic,доктрина обама,pos
владимир путин,сирия,pos
россия,европа,neg
россия,грузия,neg
россия,бенедикт бернер,pos
россия,китай,pos
россия,теория обама,neg
россия,доктрина обама,neg
россия,бернер,pos
россия,украина,neg
европа,грузия,neg
европа,бернер,pos
европа,украина,neg
грузия,украина,neg
бенедикт бернер,теория обама,pos
бенедикт бернер,бернер,pos
бенедикт бернер,украина,pos
теория обама,бернер,pos
теория обама,украина,pos
бернер,украина,pos
