first,second,ans
башар асад,москва,pos
башар асад,асад,pos
сша,москва,neg
сша,асад,neg
сша,нато,neg
сша,россия,neg
сша,европа,pos
сша,сирия,neg
афганистан,ирак,pos
афганистан,ливия,pos
москва,иго,pos
москва,асад,pos
москва,нато,neg
москва,сирия,neg
иго,турция,neg
иго,россия,pos
иго,сирия,neg
иго,иго с авиабаза инджерлик,neg
ближний восток,ближний восток,pos
ближний восток,ирак,neg
ближний восток,соединить штат,pos
турция,сирия,neg
турция,иго с авиабаза инджерлик,neg
асад,россия,pos
асад,европа,pos
нато,сирия,neg
россия,европа,neg
россия,исламский государство,pos
россия,сирия,neg
исламский государство,сирия,pos
ирак,ливия,pos
бейрут,тегеран,pos
сирия,иго с авиабаза инджерлик,neg
