first,second,ans
кнр,путин,pos
кнр,россия,pos
prada,tiffany,neg
prada,москва,neg
council on foreign relations,inc,neg
аллен гинзберг,сша,pos
аллен гинзберг,путин,neg
аллен гинзберг,тупак шакура,pos
аллен гинзберг,владислав сурков,pos
аллен гинзберг,джексон поллка,pos
судан,куб,neg
судан,иран,neg
судан,abn amro,neg
судан,ливия,neg
exxonmobil,карский мор,neg
exxonmobil,роснефть,neg
вашингтон,москва,neg
вашингтон,россия,neg
вашингтон,европа,neg
вашингтон,иран,neg
вашингтон,сирия,pos
куб,обама,pos
куб,иран,neg
куб,abn amro,neg
куб,ливия,pos
саддам хусейн,ирак,pos
raiffeisen zentralbank,societe generale,neg
сша,путин,pos
сша,malaysia airlines,neg
сша,тупак шакура,pos
сша,запад,neg
сша,обама,pos
сша,франция,pos
сша,западный европ,neg
сша,россия,neg
сша,европа,pos
сша,владислав сурков,pos
сша,джексон поллка,pos
сша,кремль,neg
сша,украина,pos
сша,кристин уормут,neg
карский мор,роснефть,pos
tiffany,москва,neg
газпром,москва,pos
газпром,пекин,pos
брикс,центробанк,pos
брикс,россия,neg
брикс,бразилия,pos
брикс,китай,neg
брикс,swift,neg
брикс,индия,neg
брикс,мвф,neg
брикс,юар,pos
брикс,всемирный банк,pos
брикс,банка развитие брикс,pos
москва,путин,neg
москва,запад,pos
москва,пекин,pos
москва,обама,pos
москва,россия,neg
москва,иран,pos
москва,украина,pos
москва,сирия,neg
путин,тупак шакура,neg
путин,запад,neg
путин,евросоюз,neg
путин,владимир путин,neg
путин,россия,pos
путин,соединить штат,pos
путин,владислав сурков,neg
путин,джексон поллка,neg
путин,украина,neg
путин,крым,pos
malaysia airlines,россия,neg
malaysia airlines,украина,pos
тупак шакура,владислав сурков,pos
тупак шакура,джексон поллка,pos
запад,франция,neg
запад,западный европ,neg
запад,россия,neg
запад,европа,neg
запад,кремль,neg
запад,украина,neg
запад,арктика,neg
visa,mastercard,neg
visa,россия,neg
евросоюз,владимир путин,neg
евросоюз,соединить штат,neg
асад,исламский государство,pos
обама,россия,neg
обама,соединить штат,neg
обама,иран,neg
обама,крым,neg
обама,кристин уормут,neg
франция,западный европ,pos
франция,германия,pos
франция,россия,pos
франция,европа,pos
франция,украина,pos
франция,крым,neg
mastercard,россия,neg
центробанк,россия,pos
центробанк,бразилия,pos
центробанк,китай,neg
центробанк,swift,neg
центробанк,индия,neg
центробанк,юар,pos
владимир путин,соединить штат,pos
западный европ,россия,neg
западный европ,европа,neg
киев,россия,pos
роснефть,россия,pos
роснефть,европа,neg
роснефть,северный атлантика,pos
роснефть,statoil,neg
геннадий тимченко,аркадий ротенберг,pos
германия,россия,pos
германия,европа,pos
германия,украина,pos
германия,крым,neg
россия,соединить штат,neg
россия,бразилия,pos
россия,европа,neg
россия,восточный европ,neg
россия,китай,pos
россия,forbes,neg
россия,иран,pos
россия,swift,neg
россия,пора,pos
россия,северный атлантика,pos
россия,statoil,neg
россия,индия,pos
россия,кремль,pos
россия,мвф,pos
россия,юар,pos
россия,украина,neg
россия,сирия,neg
россия,крым,pos
россия,кристин уормут,pos
россия,ihs cambridge energy research associates,neg
соединить штат,европа,neg
соединить штат,соединить штат,pos
соединить штат,украина,pos
бразилия,китай,neg
бразилия,swift,neg
бразилия,индия,neg
бразилия,юар,pos
европа,восточный европ,neg
европа,северный атлантика,neg
европа,statoil,neg
европа,еврокомиссия,neg
европа,украина,neg
китай,swift,neg
китай,индия,neg
китай,кремль,neg
китай,юар,neg
владислав сурков,джексон поллка,pos
иран,abn amro,neg
иран,ливия,pos
иран,сирия,pos
иран,тегеран,pos
swift,индия,neg
swift,юар,pos
северный атлантика,statoil,neg
abn amro,ливия,neg
индия,юар,neg
кремль,украина,pos
кремль,крым,neg
мвф,всемирный банк,neg
мвф,банка развитие брикс,pos
украина,крым,neg
всемирный банк,банка развитие брикс,pos
