first,second,ans
кнр,соединить штат,neg
кнр,сша,neg
кнр,путин,pos
кнр,мид,pos
кнр,си цзиньпин,neg
кнр,си,neg
кнр,пекин,pos
кнр,ред,pos
кнр,россия,pos
кнр,владимир путин,neg
кнр,связь,pos
кнр,китай,neg
кнр,спратлить,neg
кнр,украина,pos
кнр,оон,pos
кнр,америка,pos
кнр,крым,neg
исламский государство,вашингтон,pos
исламский государство,башар асад,pos
исламский государство,игил,neg
исламский государство,си,pos
исламский государство,россия,pos
council on foreign relations,inc,neg
азиатский банка инфраструктурный инвестиция,брикс,pos
вашингтон,соединить штат,pos
вашингтон,сша,pos
вашингтон,башар асад,pos
вашингтон,барак обама,pos
вашингтон,москва,neg
вашингтон,игил,neg
вашингтон,си цзиньпин,pos
вашингтон,си,pos
вашингтон,пекин,neg
вашингтон,обама,pos
вашингтон,ред,neg
вашингтон,тайвань,pos
вашингтон,россия,neg
вашингтон,связь,neg
вашингтон,китай,neg
вашингтон,америка,pos
вашингтон,сирия,pos
вашингтон,азия,pos
саннилендс,калифорния,pos
соединить штат,москва,neg
соединить штат,запад,neg
соединить штат,си,neg
соединить штат,пекин,pos
соединить штат,ред,neg
соединить штат,россия,neg
соединить штат,связь,neg
соединить штат,китай,neg
соединить штат,иран,neg
соединить штат,соединить штат,pos
соединить штат,ирак,neg
соединить штат,украина,pos
соединить штат,америка,pos
сша,москва,neg
сша,игил,neg
сша,запад,neg
сша,си цзиньпин,neg
сша,си,neg
сша,пекин,pos
сша,евросоюз,pos
сша,ред,pos
сша,нато,neg
сша,россия,neg
сша,европа,pos
сша,связь,neg
сша,китай,neg
сша,спратлить,pos
сша,ирак,neg
сша,украина,pos
сша,америка,pos
сша,сирия,neg
сша,азия,neg
российский федерация,си,neg
башар асад,игил,pos
башар асад,си,pos
башар асад,россия,pos
ссср,си,neg
ссср,китай,neg
советский союз,си,neg
советский союз,ред,neg
советский союз,китай,neg
советский союз,советский союз,pos
барак обама,си цзиньпин,pos
барак обама,си,pos
барак обама,обама,pos
москва,запад,pos
москва,си,neg
москва,пекин,pos
москва,ред,neg
москва,экономический пояс шёлковый путь,pos
москва,россия,neg
москва,связь,neg
москва,китай,neg
москва,украина,pos
москва,америка,pos
москва,сирия,neg
общественный мнение,дальний восток,pos
общественный мнение,си,neg
общественный мнение,ред,neg
общественный мнение,фонд,pos
общественный мнение,россия,neg
общественный мнение,китай,neg
путин,си цзиньпин,neg
путин,си,neg
путин,ред,pos
путин,россия,pos
путин,владимир путин,neg
путин,китай,pos
игил,си,neg
игил,россия,pos
игил,китай,neg
мид,си,neg
мид,ред,neg
мид,украина,pos
мид,крым,neg
дальний восток,си,neg
дальний восток,ред,neg
дальний восток,фонд,neg
дальний восток,россия,neg
дальний восток,китай,neg
запад,си,neg
запад,пекин,pos
запад,ред,neg
запад,нато,pos
запад,россия,neg
запад,связь,neg
запад,китай,pos
запад,украина,neg
запад,америка,neg
запад,сирия,neg
си цзиньпин,си,neg
си цзиньпин,пекин,pos
си цзиньпин,обама,pos
си цзиньпин,ред,pos
си цзиньпин,россия,pos
си цзиньпин,владимир путин,neg
си цзиньпин,китай,pos
си цзиньпин,си цзиньпин,neg
си,пекин,pos
си,евросоюз,neg
си,обама,pos
си,ред,pos
си,тайвань,neg
си,фонд,pos
си,нато,neg
си,россия,pos
си,университет национальный оборона,neg
си,владимир путин,neg
си,европа,neg
си,связь,pos
си,китай,pos
си,иран,neg
си,спратлить,pos
си,украина,neg
си,америка,pos
си,сирия,neg
си,крым,pos
си,азия,neg
пекин,обама,pos
пекин,ред,neg
пекин,экономический пояс шёлковый путь,pos
пекин,тайвань,neg
пекин,россия,neg
пекин,связь,neg
пекин,китай,neg
пекин,интая,neg
пекин,украина,pos
пекин,америка,neg
пекин,сирия,neg
евросоюз,россия,neg
евросоюз,украина,pos
евросоюз,сирия,neg
ред,фонд,pos
ред,россия,pos
ред,владимир путин,neg
ред,связь,pos
ред,китай,pos
ред,украина,neg
ред,америка,neg
ред,сирия,neg
ред,крым,pos
тайвань,китай,neg
фонд,россия,pos
фонд,китай,neg
нато,россия,neg
нато,европа,pos
нато,китай,neg
нато,азия,neg
россия,университет национальный оборона,neg
россия,владимир путин,neg
россия,европа,neg
россия,связь,pos
россия,китай,pos
россия,иран,pos
россия,украина,neg
россия,америка,neg
россия,сирия,neg
россия,азия,neg
университет национальный оборона,китай,neg
владимир путин,китай,neg
европа,китай,neg
европа,азия,neg
связь,китай,pos
связь,америка,neg
китай,иран,neg
китай,спратлить,neg
китай,ирак,neg
китай,украина,pos
китай,америка,pos
китай,сирия,neg
китай,азия,neg
спратлить,америка,pos
ирак,америка,pos
украина,сирия,neg
украина,крым,neg
