first,second,ans
финляндия,сша,neg
финляндия,путин,pos
финляндия,франция,pos
финляндия,запасть,pos
финляндия,таусить,neg
финляндия,германия,pos
финляндия,helsingin sanomat,neg
финляндия,россия,neg
финляндия,yle,neg
финляндия,сми,neg
финляндия,норвегия,pos
финляндия,мякель,neg
финляндия,швеция,pos
финляндия,mtv,neg
финляндия,ниинистё,pos
финляндия,крым,neg
сша,франция,pos
сша,германия,pos
сша,россия,neg
сша,mtv,neg
сша,ниинистё,pos
путин,вильякайнный,neg
путин,россия,pos
путин,yle,neg
путин,сми,pos
путин,швеция,pos
путин,сколково,neg
путин,ниинистё,pos
путин,крым,pos
лиухтый,turun sanomat,neg
лиухтый,россия,neg
франция,германия,pos
франция,россия,pos
франция,mtv,neg
франция,ниинистё,pos
вильякайнный,россия,neg
вильякайнный,сколково,pos
запасть,helsingin sanomat,neg
запасть,сми,neg
запасть,мякель,pos
таусить,россия,neg
таусить,yle,neg
таусить,норвегия,pos
таусить,швеция,pos
германия,россия,pos
германия,mtv,neg
германия,ниинистё,pos
helsingin sanomat,сми,neg
helsingin sanomat,мякель,neg
helsingin sanomat,ниинистё,neg
россия,yle,neg
россия,сми,neg
россия,норвегия,pos
россия,швеция,pos
россия,mtv,neg
россия,сколково,neg
россия,ниинистё,pos
россия,крым,pos
yle,сми,neg
yle,швеция,pos
yle,ниинистё,neg
сми,мякель,neg
сми,швеция,pos
сми,ниинистё,pos
норвегия,швеция,pos
швеция,ниинистё,pos
швеция,крым,neg
mtv,ниинистё,neg
