first,second,ans
центральный,ссср,pos
центральный,экономический пояс шёлковый путь,pos
центральный,кнр,neg
центральный,центральный азия,pos
центральный,центральный европа,pos
центральный,евросоюз,pos
центральный,ес,pos
центральный,евразия,pos
центральный,балтийский,pos
центральный,восточный европ,pos
центральный,запад,neg
центральный,китай,neg
центральный,восточный европа,pos
центральный,азия,pos
центральный,нато,neg
центральный,европа,pos
центральный,восточный,pos
центральный,украина,pos
восточный гамбит россия,сальватор бабонести,pos
восточный гамбит россия,ес,neg
восточный гамбит россия,россия,pos
восточный гамбит россия,восточный,pos
хабаровский край,новосибирск,pos
хабаровский край,россия,pos
хабаровский край,москва,neg
колин пауэлла,ирак,neg
передовик промышленный производство,ес,neg
передовик промышленный производство,южный корея,pos
передовик промышленный производство,китай,neg
передовик промышленный производство,азия,neg
передовик промышленный производство,тайвань,neg
передовик промышленный производство,корея,neg
передовик промышленный производство,япония,pos
передовик промышленный производство,восточный,neg
ссср,ес,neg
ссср,евразия,neg
ссср,восточный европ,neg
ссср,восточный европа,neg
ссср,азия,neg
ссср,европа,neg
ссср,восточный,neg
евразийский экономический союз,киргизия,neg
евразийский экономический союз,ес,neg
евразийский экономический союз,россия,neg
евразийский экономический союз,шос,neg
евразийский экономический союз,казахстан,neg
евразийский экономический союз,таджикистан,neg
евразийский экономический союз,украина,neg
евразийский экономический союз,узбекистан,neg
токио,ес,pos
токио,курильский остров,neg
токио,япония,pos
тяньаньмэнь,ес,pos
тяньаньмэнь,запад,neg
экономический пояс шёлковый путь,экономический пояс шёлковый путь,pos
экономический пояс шёлковый путь,центральный азия,pos
экономический пояс шёлковый путь,ес,pos
экономический пояс шёлковый путь,запад,neg
экономический пояс шёлковый путь,китай,neg
экономический пояс шёлковый путь,азия,pos
экономический пояс шёлковый путь,европа,pos
приднестровье,калининградский область,pos
приднестровье,ес,neg
киев,евросоюз,neg
киев,ес,pos
киев,запад,pos
киев,янукович,neg
туркменистан,советский союз,pos
туркменистан,ес,pos
туркменистан,россия,neg
туркменистан,российский империя задолго до образование,neg
туркменистан,украина,pos
новый шёлковый путь,кнр,neg
новый шёлковый путь,пекин,pos
новый шёлковый путь,ес,neg
киргизия,ес,pos
киргизия,россия,pos
киргизия,шос,neg
киргизия,казахстан,neg
киргизия,афганистан,pos
киргизия,таджикистан,neg
киргизия,сша,neg
киргизия,узбекистан,pos
белоруссия,евросоюз,pos
белоруссия,нато,pos
белоруссия,европа,pos
новосибирск,россия,neg
новосибирск,москва,neg
латвия,литва,pos
латвия,ес,pos
латвия,балтийский,pos
латвия,эстония,pos
калининградский область,ес,pos
гитлер,россия,pos
гитлер,европа,pos
гитлер,наполеон,pos
польша,ес,neg
польша,россия,neg
польша,балтия,pos
абхазия,ес,neg
абхазия,россия,neg
