first,second,ans
алексей кудрин,тасс,pos
алексей кудрин,путин,neg
алексей кудрин,совет,pos
алексей кудрин,россия,neg
алексей кудрин,владимир путин,pos
алексей кудрин,алексей кудрин,pos
алексей кудрин,кудрин,neg
charlie hebdo,москва,neg
charlie hebdo,игил,neg
charlie hebdo,россия,neg
charlie hebdo,брюссель,pos
charlie hebdo,париж,neg
газпром,балтийский,pos
тасс,путин,pos
тасс,совет,pos
тасс,россия,neg
тасс,владимир путин,pos
тасс,кудрин,neg
дмитрия медведев,путин,neg
дмитрия медведев,кудрин,neg
игил,россия,pos
игил,брюссель,neg
игил,кремль,neg
игил,сирия,neg
игил,париж,pos
путин,совет,pos
путин,россия,pos
путин,владимир путин,neg
путин,кремль,pos
путин,кудрин,pos
запад,россия,neg
запад,глубокий,neg
запад,кремль,neg
виктор золот,национальный гвардия,pos
роснефть,россия,pos
совет,россия,neg
совет,владимир путин,neg
совет,кудрин,neg
россия,владимир путин,neg
россия,брюссель,neg
россия,рбк,pos
россия,глубокий,neg
россия,кремль,pos
россия,париж,pos
россия,кудрин,pos
владимир путин,кремль,neg
владимир путин,кудрин,neg
брюссель,париж,neg
центральный европ,энергетический союз,pos
рбк,кудрин,pos
глубокий,кремль,neg
кремль,сирия,neg
тегеран,доха,pos
