first,second,ans
исламский государство,россия,pos
исламский государство,игил,neg
джон керри,обама,pos
джон керри,керри,neg
джон керри,асад,pos
джон керри,красный черта,neg
джон керри,конгресс,neg
куб,обама,pos
куб,транстихоокеанский партнерство,pos
куб,иран,neg
куб,америка,pos
куб,ред,pos
куб,привести,pos
башар асад,дамаск,pos
башар асад,асад,pos
восточный азия,кэмпбелла,neg
восточный азия,обама,pos
восточный азия,ближний восток,pos
восточный азия,токио,pos
восточный азия,америка,pos
восточный азия,тихоокеанский регион,pos
восточный азия,азия,pos
восточный азия,обама курт кэмпбелла,pos
клинтон,панетта,pos
клинтон,совет,neg
клинтон,керри,neg
клинтон,иран,neg
клинтон,хиллари клинтон,pos
клинтон,объединить комитет начальник штаб,pos
клинтон,совет национальный безопасность,neg
клинтон,ред,pos
клинтон,керри хиллари клинтон,neg
клинтон,nsc,neg
клинтон,оон,pos
клинтон,сьюзать райса,neg
клинтон,леон панетта,pos
конгресс резолюция,обама,pos
конгресс резолюция,белый дом,pos
конгресс резолюция,белый,pos
конгресс резолюция,конгресс,neg
дэвид петрэус,цру,neg
дэвид петрэус,ред,neg
дэвид петрэус,петрэус,pos
бел дом,обама,pos
бел дом,ред,pos
кэмпбелла,обама,pos
кэмпбелла,токио,pos
кэмпбелла,керри,pos
кэмпбелла,госдепартамент,neg
кэмпбелла,тихоокеанский регион,pos
кэмпбелла,азия,neg
кэмпбелла,обама курт кэмпбелла,pos
обама,панетта,pos
обама,ближний восток,pos
обама,токио,pos
обама,ганя,neg
обама,западный европ,neg
обама,sofa,neg
обама,совет,neg
обама,город,neg
обама,режим асад,neg
обама,кеннеди,neg
обама,кундуза,neg
обама,пентагон,pos
обама,американский университет,neg
обама,керри,neg
обама,фред каплан,pos
обама,национальный гвардия,neg
обама,транстихоокеанский партнерство,pos
обама,барак обама,pos
обама,франция,pos
обама,германия,neg
обама,россия,neg
обама,хамид карзать,pos
обама,иран,neg
обама,объединить комитет начальник штаб,pos
обама,цру,pos
обама,америка,neg
обама,соединить штат,neg
обама,белый дом,pos
обама,петрэуса,pos
обама,афганистан,neg
обама,путь обама,neg
обама,совет национальный безопасность,neg
обама,вена,pos
обама,игил,neg
обама,руммлера,neg
обама,запад,neg
обама,турция,pos
обама,персидский залив,pos
обама,ред,neg
обама,буш,pos
обама,китай,neg
обама,ирак,neg
обама,великобритания,pos
обама,привести,neg
обама,восточный европа,neg
обама,тихоокеанский регион,pos
обама,сирия,neg
обама,азия,neg
обама,сша,pos
обама,денис макдоно,pos
обама,египет,neg
обама,москва,neg
обама,генеральный ассамблея,neg
обама,путин,neg
обама,бен родс,pos
обама,прибалтика,pos
обама,петрэус,pos
обама,the new yorker,neg
обама,асад,neg
обама,белый,pos
обама,красный черта,neg
обама,нато,neg
обама,европа,pos
обама,nsc,neg
обама,конгресс,neg
обама,оон,pos
обама,украина,pos
обама,обама курт кэмпбелла,pos
обама,осло,pos
обама,мосул,neg
панетта,объединить комитет начальник штаб,pos
панетта,петрэуса,pos
панетта,ред,neg
панетта,петрэус,pos
панетта,леон панетта,neg
ближний восток,режим асад,neg
ближний восток,россия,neg
ближний восток,америка,pos
ближний восток,ред,neg
ближний восток,китай,neg
ближний восток,тихоокеанский регион,pos
ближний восток,азия,pos
ближний восток,москва,neg
ближний восток,асад,pos
ближний восток,красный черта,neg
токио,керри,neg
токио,госдепартамент,pos
токио,тихоокеанский регион,pos
токио,азия,neg
токио,обама курт кэмпбелла,pos
ганя,совет,pos
ганя,хамид карзать,pos
ганя,америка,pos
ганя,совет национальный безопасность,pos
ганя,ред,pos
западный европ,запад,neg
западный европ,европа,neg
sofa,америка,neg
sofa,соединить штат,pos
sofa,буш,pos
sofa,ирак,neg
sofa,сша,pos
киев,виктор янук,neg
киев,евросоюз,neg
киев,запад,pos
киев,ред,pos
киев,сша,neg
киев,москва,pos
киев,путин,pos
киев,янукович,neg
киев,нато,pos
совет,кеннеди,neg
совет,совет безопасность,pos
совет,кэтрин руммлера,neg
совет,советский союз,pos
совет,вьетнам,neg
совет,хиллари клинтон,pos
совет,объединить комитет начальник штаб,pos
совет,линдон джонсон,neg
совет,белый дом,neg
совет,петрэуса,pos
совет,совет национальный безопасность,pos
совет,руммлера,neg
совет,ред,neg
совет,москва,neg
совет,путин,neg
совет,бен родс,neg
совет,петрэус,pos
совет,the new yorker,neg
совет,белый,neg
совет,нато,neg
совет,владимир путин,neg
совет,nsc,neg
совет,конгресс,neg
совет,оон,pos
совет,джон кеннеди,neg
совет,сьюзать райса,neg
бенгази,город,pos
бенгази,каддафи,pos
бенгази,муаммар каддафи,pos
город,кундуза,neg
город,пентагон,pos
город,дамаск,pos
город,афганистан,pos
город,игил,pos
город,каддафи,neg
город,ирак,neg
город,сирия,pos
город,муаммар каддафи,pos
город,мосул,pos
режим асад,россия,pos
режим асад,иран,pos
режим асад,белый дом,pos
режим асад,игил,neg
режим асад,ред,pos
режим асад,москва,neg
режим асад,петрэус,pos
режим асад,асад,pos
режим асад,белый,pos
режим асад,красный черта,pos
режим асад,nsc,neg
кеннеди,американский университет,pos
кеннеди,вьетнам,neg
кеннеди,объединить комитет начальник штаб,pos
кеннеди,линдон джонсон,pos
кеннеди,америка,pos
кеннеди,ред,pos
кеннеди,джон кеннеди,neg
виктор янук,евросоюз,neg
виктор янук,путин,neg
виктор янук,янукович,pos
кундуза,афганистан,pos
совет безопасность,нато,neg
совет безопасность,оон,pos
пентагон,барак обама,pos
пентагон,объединить комитет начальник штаб,pos
пентагон,америка,neg
пентагон,соединить штат,neg
пентагон,белый дом,pos
пентагон,игил,neg
пентагон,ред,neg
пентагон,ливия,neg
пентагон,сирия,neg
пентагон,вашингтон,pos
пентагон,асад,pos
пентагон,белый,pos
пентагон,tow,neg
американский университет,иран,neg
американский университет,америка,pos
американский университет,сша,pos
керри,госдепартамент,neg
керри,иран,neg
керри,хиллари клинтон,neg
керри,америка,pos
керри,ред,pos
керри,азия,pos
керри,керри хиллари клинтон,neg
керри,асад,pos
керри,красный черта,neg
керри,конгресс,neg
фред каплан,путь обама,pos
фред каплан,ред,pos
кэтрин руммлера,белый дом,pos
кэтрин руммлера,руммлера,pos
кэтрин руммлера,ред,pos
кэтрин руммлера,белый,pos
кэтрин руммлера,конгресс,neg
национальный гвардия,ред,neg
транстихоокеанский партнерство,иран,neg
транстихоокеанский партнерство,америка,pos
транстихоокеанский партнерство,ред,pos
дамаск,асад,pos
дэвид кэмерон,франция,neg
дэвид кэмерон,великобритания,pos
бандар бин султан,ред,pos
бандар бин султан,петрэус,pos
council on foreign relations,inc,neg
трансатлантический альянс,минск,neg
трансатлантический альянс,путин,pos
барак обама,объединить комитет начальник штаб,pos
барак обама,америка,pos
пекин,австралия,neg
пекин,южный корея,pos
пекин,китай,neg
пекин,вашингтон,pos
пекин,япония,pos
евросоюз,путин,neg
евросоюз,янукович,pos
франция,германия,pos
франция,великобритания,pos
франция,асад,neg
госдепартамент,азия,pos
вьетнам,объединить комитет начальник штаб,pos
вьетнам,линдон джонсон,pos
вьетнам,китай,neg
вьетнам,сша,pos
вьетнам,джон кеннеди,pos
вьетнам,ричард никсон,pos
германия,великобритания,pos
германия,асад,pos
россия,иран,pos
россия,америка,neg
россия,соединить штат,neg
россия,вена,neg
россия,игил,neg
россия,запад,neg
россия,ред,pos
россия,китай,pos
россия,восточный европа,neg
россия,сирия,neg
россия,сша,neg
россия,сергей лавр,neg
россия,москва,neg
россия,прибалтика,pos
россия,асад,pos
россия,красный черта,pos
россия,нато,neg
россия,европа,neg
россия,nsc,neg
россия,конгресс,pos
россия,украина,neg
мексика,канада,pos
хамид карзать,америка,pos
хамид карзать,ред,pos
иран,хиллари клинтон,neg
иран,америка,pos
иран,вена,neg
иран,игил,neg
иран,турция,pos
иран,персидский залив,pos
иран,ред,pos
иран,привести,pos
иран,сша,neg
иран,египет,neg
иран,генеральный ассамблея,neg
иран,керри хиллари клинтон,neg
иран,петрэус,pos
иран,асад,pos
иран,оон,pos
хиллари клинтон,совет национальный безопасность,pos
хиллари клинтон,ред,pos
хиллари клинтон,керри хиллари клинтон,neg
хиллари клинтон,nsc,neg
хиллари клинтон,оон,pos
хиллари клинтон,сьюзать райса,neg
объединить комитет начальник штаб,линдон джонсон,neg
объединить комитет начальник штаб,америка,neg
объединить комитет начальник штаб,мартин демпси,neg
объединить комитет начальник штаб,ред,neg
объединить комитет начальник штаб,объединить комитет начальник штаб,pos
объединить комитет начальник штаб,джон кеннеди,pos
объединить комитет начальник штаб,леон панетта,neg
цру,америка,pos
цру,ред,pos
цру,сирия,neg
цру,вашингтон,pos
цру,петрэус,pos
цру,асад,pos
линдон джонсон,джон кеннеди,neg
мубарак,тунис,pos
мубарак,египет,pos
австралия,южный корея,pos
австралия,китай,neg
австралия,вашингтон,pos
австралия,япония,pos
америка,соединить штат,pos
америка,афганистан,pos
америка,игил,neg
америка,турция,pos
америка,ред,neg
америка,рамади,neg
америка,багдад,pos
америка,каддафи,neg
америка,ирак,neg
америка,привести,neg
америка,сирия,pos
америка,азия,pos
америка,сша,pos
америка,петрэус,neg
америка,асад,pos
америка,нато,pos
америка,япония,pos
америка,nsc,neg
америка,украина,pos
минск,путин,neg
южный корея,стэнфордский университет,neg
южный корея,китай,neg
южный корея,вашингтон,pos
южный корея,южный корея,pos
южный корея,япония,pos
южный корея,уолтер шоренстейн,neg
стэнфордский университет,япония,pos
стэнфордский университет,уолтер шоренстейн,pos
соединить штат,ред,neg
соединить штат,соединить штат,pos
соединить штат,ирак,neg
соединить штат,ливия,neg
соединить штат,азия,neg
соединить штат,вашингтон,neg
соединить штат,европа,neg
соединить штат,украина,pos
белый дом,руммлера,pos
белый дом,ред,pos
белый дом,сирия,pos
белый дом,сша,pos
белый дом,денис макдоно,pos
белый дом,асад,pos
белый дом,белый,pos
белый дом,конгресс,neg
петрэуса,игил,neg
петрэуса,ред,neg
петрэуса,ирак,neg
петрэуса,сирия,neg
петрэуса,петрэус,pos
афганистан,ред,pos
афганистан,буш,pos
афганистан,ирак,pos
путь обама,ред,pos
совет национальный безопасность,ред,neg
совет национальный безопасность,nsc,neg
совет национальный безопасность,оон,pos
совет национальный безопасность,сьюзать райса,pos
вена,игил,neg
мартин демпси,ред,neg
игил,турция,neg
