first,second,ans
владимир путин,вашингтон,pos
владимир путин,москва,neg
владимир путин,путин,neg
владимир путин,асад,pos
владимир путин,россия,neg
владимир путин,сирия,pos
владимир путин,владимир путин,pos
вашингтон,сша,pos
вашингтон,москва,neg
вашингтон,путин,neg
вашингтон,персидский залив,neg
вашингтон,совет,pos
вашингтон,иран,neg
башар асад,путин,pos
башар асад,асад,pos
башар асад,россия,pos
башар асад,украина,pos
башар асад,крым,pos
сша,израиль,neg
сша,игил,neg
сша,ближний восток,pos
сша,обама,pos
сша,персидский залив,pos
сша,совет,pos
сша,россия,neg
сша,иран,neg
сша,йемен,neg
сша,америка,pos
афганистан,евросоюз,pos
афганистан,исламский государство,pos
афганистан,ирак,pos
афганистан,сирия,pos
египет,путин,neg
египет,россия,neg
израиль,москва,pos
израиль,совет сотрудничество государство,neg
израиль,ближний восток,pos
израиль,обама,pos
израиль,персидский залив,pos
израиль,салман,pos
израиль,совет,neg
израиль,россия,pos
израиль,иран,neg
израиль,барак обама,neg
израиль,исламский государство,neg
израиль,америка,neg
москва,путин,neg
москва,салман,neg
москва,россия,neg
москва,латакия,neg
путин,ближний восток,pos
путин,асад,pos
путин,обама,pos
путин,россия,pos
путин,украина,neg
путин,сирия,neg
путин,крым,pos
игил,обама,pos
игил,персидский залив,pos
игил,иран,neg
вена,асад,pos
вена,россия,neg
вена,сирия,pos
совет сотрудничество государство,персидский залив,pos
совет сотрудничество государство,совет,pos
совет сотрудничество государство,иран,neg
ближний восток,обама,pos
ближний восток,ближний восток,pos
ближний восток,россия,neg
ближний восток,барак обама,pos
ближний восток,америка,pos
евросоюз,исламский государство,neg
евросоюз,ирак,neg
евросоюз,сирия,neg
асад,россия,pos
асад,украина,pos
асад,сирия,pos
асад,крым,pos
обама,россия,neg
обама,барак обама,pos
обама,америка,neg
обама,сирия,neg
персидский залив,совет,neg
персидский залив,иран,neg
салман,россия,pos
совет,иран,neg
россия,исламский государство,pos
россия,украина,neg
россия,америка,neg
россия,сирия,neg
россия,крым,pos
бахрейн,иран,pos
бахрейн,сирия,pos
иран,йемен,neg
иран,ирак,neg
иран,сирия,pos
исламский государство,ирак,neg
исламский государство,исламский государство,neg
исламский государство,америка,pos
исламский государство,сирия,pos
ирак,сирия,pos
украина,крым,neg
