first,second,ans
вашингтон,атр,pos
вашингтон,пекин,neg
вашингтон,ближний восток,pos
вашингтон,восток,pos
вашингтон,соединить штат,pos
нандать унникришнать,индия,pos
нандать унникришнать,ум пурушотхаман,pos
мэттью берроуз,россия,neg
мэттью берроуз,роберт мэннинга,neg
мэттью берроуз,китай,neg
эндрю монаган,ричард коннолли,neg
эндрю монаган,атр,pos
эндрю монаган,джулиан купер,pos
федеральный резервный система,сша,neg
федеральный резервный система,атр,neg
федеральный резервный система,василиса кулак,pos
ричард коннолли,атр,pos
ричард коннолли,джулиан купер,neg
сша,атр,neg
сша,джонатан стивенсон,pos
сша,василиса кулак,pos
сша,стивен саймон,pos
атр,пекин,pos
атр,василиса кулак,pos
атр,джулиан купер,pos
египет,синай,neg
джонатан стивенсон,стивен саймон,neg
игорь денис,кпк,neg
запад,восток,neg
запад,евгений сатановский,neg
андрей яковлев,россия,neg
андрей яковлев,воинственный россия,pos
ближний восток,восток,pos
ближний восток,соединить штат,pos
стивен уолт,россия,neg
стивен уолт,исламский государство,neg
неизбежный драка,европа,pos
восток,евгений сатановский,neg
восток,соединить штат,pos
сергей минасян,кремль,pos
совет,россия,neg
россия,роберт мэннинга,pos
россия,китай,pos
россия,исламский государство,pos
россия,воинственный россия,neg
роберт мэннинга,китай,pos
сильван малл,бирмингемский университет,pos
транстихоокеанский партнерство,ярослав лисоволик,pos
индия,ум пурушотхаман,pos
