first,second,ans
запад,игил,neg
запад,wall street journal,neg
запад,синай,neg
запад,париж,pos
запад,россия,neg
запад,the economist,neg
европа,украина,neg
европа,германия,neg
европа,польша,neg
европа,италия,neg
европа,франция,neg
европа,игил,neg
европа,сша,neg
европа,сирия,neg
европа,россия,neg
европа,балтия,pos
украина,германия,pos
украина,польша,pos
украина,италия,neg
украина,франция,pos
украина,игил,neg
украина,сша,neg
украина,сирия,neg
украина,россия,neg
украина,балтия,neg
германия,польша,pos
германия,италия,neg
германия,франция,pos
германия,сша,pos
германия,россия,pos
германия,балтия,pos
польша,италия,neg
польша,франция,pos
польша,сша,neg
польша,россия,neg
польша,балтия,pos
италия,франция,neg
италия,сша,neg
италия,россия,pos
италия,балтия,pos
франция,сша,neg
франция,россия,pos
франция,балтия,neg
игил,сирия,neg
игил,запасть,neg
игил,париж,pos
игил,нато,pos
игил,россия,pos
сша,россия,neg
сша,балтия,neg
сирия,россия,pos
wall street journal,россия,neg
wall street journal,the economist,neg
синай,париж,pos
синай,россия,pos
запасть,россия,pos
париж,россия,neg
нато,россия,neg
россия,the economist,neg
россия,балтия,pos
