first,second,ans
владимир путин,израиль,neg
владимир путин,биньямин нетаньяха,pos
башар асад,игил,pos
башар асад,асад,pos
башар асад,иран,pos
башар асад,башар асад,pos
башар асад,народ,pos
башар асад,кремль,pos
сша,хафез асад,pos
сша,асад,neg
сша,уоррен кристофер,pos
сша,барак обама,neg
сша,ицхак рабин,neg
сша,сирия,neg
хафез асад,голанский высота,pos
хафез асад,израиль,neg
хафез асад,асад,pos
хафез асад,голан,pos
хафез асад,уоррен кристофер,pos
хафез асад,хафез асад,pos
хафез асад,ицхак рабин,neg
хафез асад,народ,neg
хафез асад,сирия,pos
голанский высота,израиль,neg
голанский высота,москва,pos
голанский высота,голанский высота,pos
голанский высота,асад,pos
голанский высота,голан,pos
израиль,москва,pos
израиль,турция,neg
израиль,асад,neg
израиль,голан,neg
израиль,россия,pos
израиль,хезболл,neg
израиль,иран,neg
израиль,биньямин нетаньяха,pos
израиль,народ,pos
израиль,сирия,neg
москва,голан,pos
москва,россия,neg
москва,иран,pos
москва,сирия,neg
игил,асад,neg
турция,россия,neg
турция,иран,neg
турция,народ,pos
турция,сирия,neg
асад,голан,pos
асад,уоррен кристофер,pos
асад,иран,pos
асад,ицхак рабин,pos
асад,народ,pos
асад,кремль,pos
асад,сирия,pos
асад,тегеран,pos
асад,дамаск,pos
голан,иран,neg
уоррен кристофер,ицхак рабин,neg
уоррен кристофер,сирия,neg
россия,хезболл,pos
россия,иран,pos
россия,народ,neg
россия,сирия,neg
россия,дамаск,neg
хезболл,иран,neg
иран,народ,pos
иран,кремль,neg
иран,сирия,pos
иран,тегеран,pos
иран,дамаск,neg
барак обама,сирия,pos
ицхак рабин,сирия,neg
народ,сирия,neg
тегеран,дамаск,pos
