first,second,ans
диалог,нато,pos
диалог,стефан лё,neg
диалог,балтийский регион,pos
диалог,лёвено,neg
финляндия,гулльранд,pos
финляндия,нато,neg
финляндия,сауля ниинистё,neg
финляндия,стефан лё,neg
финляндия,dagens nyheter,neg
финляндия,балтийский регион,neg
финляндия,швеция,pos
финляндия,лёвено,neg
финляндия,ниинистё,pos
сша,барак обама,neg
сша,россия,neg
сша,стефан лё,pos
сша,швеция,pos
сша,лёвено,neg
балтика,россия,pos
балтика,швеция,pos
балтика,украина,pos
балтика,лёвено,pos
балтика,крым,pos
варшава,нато,pos
варшава,стефан лё,pos
варшава,лёвено,neg
варшава,ниинистё,pos
барак обама,россия,pos
барак обама,стефан лё,pos
барак обама,лёвено,pos
хельсинкский конференция,россия,pos
хельсинкский конференция,крым,neg
левый партия,шведский демократ,pos
левый партия,швеция,pos
шведский демократ,швеция,pos
гулльранд,швеция,neg
нато,сауля ниинистё,neg
нато,стефан лё,pos
нато,балтийский регион,pos
нато,швеция,pos
нато,лёвено,neg
нато,ниинистё,pos
россия,стефан лё,neg
россия,украина,neg
россия,лёвено,pos
россия,крым,pos
сауля ниинистё,стефан лё,neg
сауля ниинистё,dagens nyheter,neg
сауля ниинистё,балтийский регион,pos
сауля ниинистё,швеция,pos
сауля ниинистё,лёвено,pos
сауля ниинистё,ниинистё,pos
стефан лё,балтийский регион,neg
стефан лё,швеция,pos
стефан лё,лёвено,neg
стефан лё,ниинистё,pos
dagens nyheter,ниинистё,neg
балтийский регион,швеция,pos
балтийский регион,лёвено,pos
балтийский регион,ниинистё,pos
швеция,лёвено,neg
швеция,ниинистё,pos
украина,крым,neg
лёвено,ниинистё,pos
