first,second,ans
институт мировой экономика петерсон,америка,pos
республика корея,новый зеландия,pos
республика корея,асеана,pos
республика корея,ес,neg
республика корея,индия,pos
республика корея,австралия,neg
республика корея,китай,pos
республика корея,зст,neg
республика корея,корея,pos
республика корея,ассоциация,pos
республика корея,япония,pos
таможенный союз,союз,pos
таможенный союз,ес,pos
таможенный союз,африка,neg
таможенный союз,тс,pos
поднебесный,барак обама,pos
поднебесный,ес,neg
поднебесный,америка,neg
поднебесный,китай,neg
поднебесный,сша,neg
восточный азия,атлантика,pos
восточный азия,великий шёлковый путь,pos
восточный азия,асеана,pos
восточный азия,еаэс,neg
восточный азия,ес,neg
восточный азия,закавказье,neg
восточный азия,китай,neg
восточный азия,шёлковый путь,pos
восточный азия,азия,pos
восточный азия,европа,neg
восточный азия,ассоциация,pos
пояс razvitie,ес,neg
пояс razvitie,эпшп,pos
пояс razvitie,китай,pos
пояс razvitie,азия,neg
пояс razvitie,европа,neg
пояс razvitie,трансъевразийский пояс razvitie,pos
евразийский континент,арктический магистраль,pos
евразийский континент,ес,neg
евразийский континент,россия,neg
евразийский континент,великое шёлк,pos
евразийский континент,америка,pos
евразийский континент,великое шёлковый,pos
евразийский континент,эпшп,neg
евразийский континент,тс,neg
атлантика,ес,pos
атлантика,азия,pos
великий шёлковый путь,ес,neg
великий шёлковый путь,закавказье,neg
великий шёлковый путь,китай,neg
великий шёлковый путь,шёлковый путь,pos
великий шёлковый путь,азия,pos
суперпроект,кнр,neg
суперпроект,си цзиньпин,neg
суперпроект,ес,pos
суперпроект,китай,neg
тнк,ес,pos
союз,евразийский экономический комиссия,neg
союз,юва,pos
союз,асеана,neg
союз,европейский союз,neg
союз,еаэс,neg
союз,кнр,neg
союз,вто,neg
союз,комиссия тс,neg
союз,евросоюз,neg
союз,снг,pos
союз,еэк,neg
союз,ес,neg
союз,евразия,neg
союз,россия,neg
союз,шос,pos
союз,евразийский экономический союз,neg
союз,америка,pos
союз,африка,neg
союз,китай,neg
союз,азия,neg
союз,сша,pos
союз,атр,neg
союз,брикс,neg
союз,зст,neg
союз,тс,pos
союз,брюссель,neg
экономический пояс шёлковый путь,экономический пояс шёлковый путь,pos
экономический пояс шёлковый путь,еаэс,pos
экономический пояс шёлковый путь,кнр,neg
экономический пояс шёлковый путь,ес,pos
экономический пояс шёлковый путь,россия,pos
экономический пояс шёлковый путь,шос,pos
экономический пояс шёлковый путь,морской шёлковый путь,neg
экономический пояс шёлковый путь,госсовет,pos
экономический пояс шёлковый путь,абия,neg
экономический пояс шёлковый путь,эпшп,pos
экономический пояс шёлковый путь,китай,neg
экономический пояс шёлковый путь,шёлковый путь,pos
экономический пояс шёлковый путь,брикс,pos
экономический пояс шёлковый путь,банка развитие,neg
экономический пояс шёлковый путь,тс,neg
евразийский экономический комиссия,еаэс,neg
евразийский экономический комиссия,комиссия тс,neg
евразийский экономический комиссия,ес,neg
евразийский экономический комиссия,россия,neg
евразийский экономический комиссия,евразийский экономический союз,neg
евразийский экономический комиссия,тс,neg
евразийский экономический комиссия,евразийский экономический комиссия,neg
джакарта,асеана,pos
джакарта,еаэс,pos
джакарта,индия,pos
джакарта,зст,pos
джакарта,ппс,pos
джакарта,петербург,pos
киргизия,армения,pos
киргизия,белоруссия,pos
киргизия,россия,pos
киргизия,казахстан,neg
киргизия,тс,pos
новый зеландия,асеана,pos
новый зеландия,ес,neg
новый зеландия,индия,neg
новый зеландия,австралия,neg
новый зеландия,китай,neg
новый зеландия,египет,neg
новый зеландия,израиль,neg
новый зеландия,зст,neg
новый зеландия,корея,neg
новый зеландия,ассоциация,pos
новый зеландия,япония,pos
тихий,атлантический океан,neg
тихий,ес,pos
тихий,республика никарагуа,pos
армения,белоруссия,pos
армения,россия,pos
армения,казахстан,neg
армения,тс,pos
трасека,закавказье,neg
трасека,казахстан,neg
трасека,запад,neg
трасека,турция,pos
трасека,китай,neg
трасека,европа,pos
оэср,ес,neg
белоруссия,россия,pos
белоруссия,казахстан,pos
белоруссия,тс,pos
юва,центральный азия,pos
юва,вто,pos
юва,евросоюз,pos
юва,ес,pos
юва,китай,neg
юва,азия,pos
асеана,еаэс,pos
асеана,евросоюз,pos
асеана,еэк,pos
асеана,ес,pos
асеана,владивосток,pos
асеана,рвэп,pos
асеана,вьетнам,pos
асеана,россия,pos
асеана,шос,pos
асеана,индия,pos
асеана,австралия,neg
асеана,лиссабон,pos
асеана,китай,pos
асеана,азия,pos
асеана,брикс,pos
асеана,зст,pos
асеана,ппс,pos
асеана,корея,pos
асеана,тс,pos
асеана,ассоциация,pos
асеана,япония,pos
асеана,петербург,pos
асеана,малайзия,pos
асеана,индонезия,pos
атлантический океан,ес,pos
атлантический океан,республика никарагуа,pos
европейский союз,еаэс,neg
европейский союз,ес,neg
европейский союз,евразия,neg
европейский союз,азия,neg
европейский союз,атр,neg
еаэс,кнр,neg
еаэс,вто,neg
еаэс,комиссия тс,neg
еаэс,евразийский банка развитие,neg
еаэс,пекин,pos
еаэс,евросоюз,neg
еаэс,еэк,neg
еаэс,ес,neg
еаэс,евразия,neg
еаэс,владивосток,pos
еаэс,вьетнам,neg
еаэс,россия,neg
еаэс,шос,neg
еаэс,евразийский экономический союз,neg
еаэс,индия,neg
еаэс,ттип,neg
еаэс,лиссабон,neg
еаэс,абия,neg
еаэс,эпшп,neg
еаэс,китай,neg
еаэс,шёлковый путь,neg
еаэс,каспийский регион государство,neg
еаэс,азия,neg
еаэс,тихоокеанский регион,neg
еаэс,атр,pos
еаэс,брикс,pos
еаэс,зст,neg
еаэс,ппс,neg
еаэс,банка развитие,pos
еаэс,тс,neg
еаэс,широкий,neg
еаэс,ассоциация,pos
еаэс,каспий,neg
еаэс,евразийский банк развитие,neg
еаэс,петербург,pos
еаэс,малайзия,neg
еаэс,индонезия,neg
еаэс,ттп,neg
кнр,си цзиньпин,neg
кнр,ес,pos
кнр,россия,pos
кнр,морской шёлковый путь,pos
кнр,госсовет,neg
кнр,абия,neg
кнр,китай,neg
кнр,шёлковый путь,neg
кнр,тс,pos
арктический магистраль,ес,pos
арктический магистраль,великое шёлк,pos
арктический магистраль,америка,pos
арктический магистраль,великое шёлковый,pos
арктический магистраль,тс,pos
чили,мексика,neg
чили,перу,pos
чили,юар,pos
чили,южный корея,pos
чили,колумбия,neg
чили,тихоокеанский альянс,neg
чили,корея,neg
центральный азия,пекин,pos
центральный азия,ес,pos
центральный азия,центральный азия,pos
центральный азия,россия,pos
центральный азия,закавказье,neg
центральный азия,иран,neg
центральный азия,америка,pos
центральный азия,африка,pos
центральный азия,казахстан,neg
центральный азия,афганистан,pos
центральный азия,запад,neg
центральный азия,турция,neg
центральный азия,китай,neg
центральный азия,южный америк,pos
центральный азия,азия,pos
центральный азия,атр,pos
центральный азия,европа,pos
западный европ,пекин,pos
западный европ,запад,neg
западный европ,китай,pos
западный европ,европа,neg
барак обама,ес,pos
барак обама,америка,pos
барак обама,китай,pos
барак обама,сша,pos
вто,евразийский банка развитие,pos
вто,евросоюз,neg
вто,ес,pos
вто,вьетнам,pos
вто,америка,pos
вто,ттип,pos
вто,казахстан,neg
вто,соединить штат,pos
вто,сша,pos
вто,атр,pos
вто,зст,neg
вто,банка развитие,pos
вто,тс,pos
вто,япония,pos
вто,ттп,pos
комиссия тс,ес,pos
комиссия тс,россия,pos
комиссия тс,евразийский экономический союз,neg
комиссия тс,комиссия тс,neg
комиссия тс,тс,pos
евразийский каркас,ес,neg
евразийский банка развитие,ес,neg
евразийский банка развитие,банка развитие,pos
си цзиньпин,ес,neg
си цзиньпин,китай,pos
дальний восток,сибирь,neg
пекин,ес,neg
пекин,россия,neg
пекин,америка,neg
пекин,африка,pos
пекин,запад,neg
пекин,китай,neg
пекин,южный америк,pos
пекин,азия,neg
пекин,атр,pos
пекин,европа,pos
евросоюз,еэк,neg
евросоюз,ес,neg
евросоюз,россия,neg
евросоюз,шос,neg
евросоюз,америка,neg
евросоюз,китай,neg
евросоюз,сша,neg
евросоюз,атр,neg
евросоюз,зст,neg
евросоюз,тс,pos
евросоюз,брюссель,pos
снг,ес,neg
еэк,ес,neg
еэк,вьетнам,neg
еэк,россия,neg
еэк,шос,pos
еэк,америка,neg
еэк,китай,neg
еэк,тс,pos
еэк,малайзия,neg
еэк,индонезия,neg
еэк,ттп,pos
ес,франция,pos
ес,евразия,neg
ес,владивосток,neg
ес,рвэп,neg
ес,меркосура,neg
ес,вьетнам,neg
ес,германия,neg
ес,россия,neg
ес,великое шёлк,pos
ес,закавказье,neg
ес,анкара,neg
ес,шос,pos
ес,евразийский экономический союз,neg
ес,морской шёлковый путь,neg
ес,индия,neg
ес,австралия,neg
ес,юар,pos
ес,америка,neg
ес,госсовет,neg
ес,ттип,pos
ес,африка,neg
ес,казахстан,neg
ес,соединить штат,neg
ес,республика никарагуа,neg
ес,лиссабон,neg
ес,запад,neg
ес,абия,neg
ес,турция,pos
ес,великое шёлковый,pos
ес,эпшп,pos
ес,китай,neg
ес,шёлковый путь,pos
ес,великобритания,pos
ес,институт глобальный развитие и окружающий среда,neg
ес,азия,neg
ес,сша,neg
ес,тихоокеанский регион,pos
ес,атр,neg
ес,брикс,pos
ес,зст,neg
ес,москва,neg
ес,босфор,pos
ес,корея,neg
ес,банка развитие,neg
ес,тс,pos
ес,широкий,pos
ес,европа,neg
ес,ассоциация,neg
ес,япония,pos
ес,брюссель,pos
ес,малайзия,neg
ес,индонезия,neg
ес,ттп,pos
франция,германия,pos
франция,великобритания,pos
франция,институт глобальный развитие и окружающий среда,neg
евразия,россия,neg
евразия,азия,neg
евразия,атр,pos
евразия,зст,neg
евразия,европа,neg
среднее восток,каспий,neg
владивосток,лиссабон,neg
владивосток,зст,neg
меркосура,америка,pos
вьетнам,россия,pos
вьетнам,индия,neg
вьетнам,америка,pos
вьетнам,соединить штат,pos
вьетнам,брикс,pos
вьетнам,зст,neg
вьетнам,тс,pos
вьетнам,япония,pos
вьетнам,малайзия,pos
вьетнам,индонезия,neg
германия,великобритания,pos
германия,институт глобальный развитие и окружающий среда,neg
россия,шос,pos
россия,евразийский экономический союз,neg
россия,америка,neg
россия,африка,pos
россия,казахстан,pos
россия,запад,neg
россия,эпшп,pos
россия,китай,pos
россия,шёлковый путь,pos
россия,синьцзян,neg
россия,южный америк,pos
россия,азия,neg
россия,сша,neg
россия,тихоокеанский регион,neg
россия,атр,pos
россия,брикс,pos
россия,зст,neg
россия,банка развитие,pos
россия,тс,neg
россия,широкий,pos
россия,европа,neg
россия,малайзия,pos
россия,индонезия,pos
великое шёлк,америка,pos
великое шёлк,великое шёлковый,pos
великое шёлк,шёлковый путь,pos
великое шёлк,тс,pos
мексика,перу,pos
мексика,колумбия,neg
мексика,тихоокеанский альянс,pos
закавказье,казахстан,pos
закавказье,запад,neg
закавказье,турция,neg
закавказье,китай,pos
закавказье,шёлковый путь,neg
закавказье,азия,neg
закавказье,европа,neg
иран,казахстан,neg
иран,афганистан,pos
иран,запад,neg
иран,турция,pos
иран,китай,neg
иран,азия,pos
иран,европа,neg
перу,колумбия,neg
перу,тихоокеанский альянс,pos
шос,ттип,neg
шос,казахстан,neg
шос,китай,neg
шос,шёлковый путь,pos
шос,синьцзян,neg
шос,брикс,pos
шос,банка развитие,pos
шос,широкий,pos
шос,ттп,neg
евразийский экономический союз,евразийский экономический союз,neg
евразийский экономический союз,тс,neg
морской шёлковый путь,госсовет,pos
морской шёлковый путь,абия,neg
морской шёлковый путь,шёлковый путь,pos
морской шёлковый путь,тс,pos
индия,австралия,neg
индия,китай,neg
индия,азия,neg
индия,египет,neg
индия,брикс,pos
индия,израиль,neg
индия,зст,neg
индия,ппс,pos
индия,корея,neg
индия,ассоциация,neg
индия,япония,neg
индия,петербург,pos
австралия,китай,neg
австралия,зст,neg
австралия,корея,neg
австралия,ассоциация,neg
австралия,япония,pos
юар,южный корея,pos
юар,брикс,pos
юар,корея,neg
америка,африка,pos
америка,соединить штат,pos
америка,великое шёлковый,pos
америка,китай,neg
америка,южный америк,pos
америка,азия,pos
америка,сша,pos
америка,атр,pos
америка,тс,pos
америка,япония,pos
америка,ттп,pos
госсовет,абия,neg
госсовет,шёлковый путь,neg
госсовет,тс,neg
ттип,соединить штат,pos
ттип,сша,neg
ттип,брикс,pos
ттип,зст,neg
ттип,тс,pos
ттип,широкий,pos
ттип,ттп,pos
южный корея,корея,neg
африка,южный америк,pos
африка,азия,pos
африка,атр,pos
казахстан,запад,neg
казахстан,турция,pos
казахстан,китай,neg
казахстан,синьцзян,neg
казахстан,азия,pos
казахстан,тс,pos
казахстан,европа,neg
соединить штат,соединить штат,pos
соединить штат,сша,pos
соединить штат,япония,pos
соединить штат,ттп,pos
афганистан,запад,pos
афганистан,турция,pos
афганистан,китай,pos
афганистан,азия,pos
афганистан,европа,pos
лиссабон,зст,pos
запад,турция,neg
запад,китай,pos
запад,пакистан,pos
запад,азия,neg
запад,европа,neg
абия,китай,neg
абия,шёлковый путь,pos
абия,тс,pos
абия,евразийский банк развитие,pos
турция,китай,neg
турция,азия,neg
турция,босфор,pos
турция,тс,pos
турция,европа,pos
великое шёлковый,шёлковый путь,pos
великое шёлковый,тс,pos
эпшп,китай,neg
эпшп,шёлковый путь,pos
эпшп,азия,pos
эпшп,атр,pos
эпшп,тс,neg
эпшп,широкий,pos
эпшп,европа,pos
эпшп,трансъевразийский пояс razvitie,neg
колумбия,тихоокеанский альянс,pos
китай,шёлковый путь,neg
китай,пакистан,pos
китай,азия,neg
китай,сша,neg
китай,атр,pos
китай,зст,neg
китай,корея,neg
китай,широкий,neg
китай,европа,neg
китай,ассоциация,pos
китай,япония,neg
китай,евразийский банк развитие,neg
китай,трансъевразийский пояс razvitie,pos
китай,ттп,pos
шёлковый путь,азия,pos
шёлковый путь,брикс,pos
шёлковый путь,банка развитие,neg
шёлковый путь,тс,neg
каспийский регион государство,зст,neg
каспийский регион государство,каспий,neg
великобритания,институт глобальный развитие и окружающий среда,neg
южный америк,азия,pos
южный америк,атр,pos
азия,атр,pos
азия,зст,neg
азия,босфор,pos
азия,корея,neg
азия,европа,neg
азия,ассоциация,pos
азия,трансъевразийский пояс razvitie,pos
вашингтон,тихоокеанский регион,pos
вашингтон,ттп,pos
сша,атр,neg
сша,зст,neg
сша,тс,pos
сша,ттп,pos
тихоокеанский регион,ттп,pos
атр,тс,pos
атр,широкий,pos
атр,брюссель,pos
египет,израиль,neg
брикс,зст,neg
брикс,банка развитие,pos
брикс,широкий,pos
брикс,ттп,pos
зст,ппс,pos
зст,корея,neg
зст,тс,neg
зст,ассоциация,neg
зст,каспий,neg
зст,япония,neg
зст,петербург,pos
зст,ттп,neg
босфор,европа,neg
ппс,петербург,pos
корея,ассоциация,pos
корея,япония,pos
тс,малайзия,neg
тс,индонезия,neg
тс,ттп,pos
широкий,ттп,neg
европа,трансъевразийский пояс razvitie,neg
ассоциация,япония,pos
малайзия,индонезия,pos
