first,second,ans
википедия,соединить штат,pos
википедия,сп,pos
википедия,россия,neg
википедия,индия,neg
википедия,афганистан,pos
википедия,пакистан,pos
википедия,канада,neg
соединить штат,восточный азия,neg
соединить штат,северный пацифика,neg
соединить штат,кнр,neg
соединить штат,сп,pos
соединить штат,ес,neg
соединить штат,половина эванс,pos
соединить штат,россия,neg
соединить штат,индия,neg
соединить штат,ва,neg
соединить штат,соединить штат,pos
соединить штат,республика корея,neg
соединить штат,афганистан,neg
соединить штат,кндр,neg
соединить штат,пакистан,pos
соединить штат,азия,neg
соединить штат,тихий океан,pos
соединить штат,тайвань,pos
соединить штат,корея,neg
соединить штат,япония,pos
соединить штат,восточный,neg
соединить штат,канада,neg
соединить штат,сва,neg
восточный азия,токио,pos
восточный азия,северный пацифика,pos
восточный азия,асеана,pos
восточный азия,восточный азия,pos
восточный азия,сп,pos
восточный азия,пекин,pos
восточный азия,ес,neg
восточный азия,восток,pos
восточный азия,россия,pos
восточный азия,ва,pos
восточный азия,запад,neg
восточный азия,китай,neg
восточный азия,сеул,pos
восточный азия,тихоокеанский регион,pos
восточный азия,азия,pos
восточный азия,вашингтон,pos
восточный азия,сша,pos
восточный азия,атр,pos
восточный азия,москва,neg
восточный азия,восточный,pos
восточный азия,сва,pos
ссср,ес,neg
ссср,россия,neg
ссср,ва,neg
ссср,вашингтон,neg
ссср,сша,pos
ссср,тихий океан,pos
ссср,европа,neg
мид,северный пацифика,neg
мид,ес,pos
мид,канада,pos
токио,пекин,pos
токио,ес,pos
токио,ва,pos
токио,сеул,neg
токио,азия,neg
токио,вашингтон,pos
токио,атр,neg
токио,москва,neg
токио,восточный,pos
токио,сва,neg
сахалин,маньчжурия,pos
сахалин,курильский остров,pos
сахалин,россия,pos
сахалин,амур,neg
сахалин,хоккайдо,pos
сахалин,китай,pos
сахалин,приамурья,pos
сахалин,япония,pos
восточный арктика,арктика,pos
восточный арктика,рк,pos
восточный арктика,восточный,pos
северный пацифика,да и термин,neg
северный пацифика,камчатка,pos
северный пацифика,асеана,pos
северный пацифика,арктика,pos
северный пацифика,кнр,pos
северный пацифика,сп,pos
северный пацифика,северный пацифика,neg
северный пацифика,аляска,neg
северный пацифика,диалог кооперативный безопасность,neg
северный пацифика,ес,neg
северный пацифика,восток,neg
северный пацифика,россия,pos
северный пацифика,ва,neg
северный пацифика,тихоокеанский бассейн,pos
северный пацифика,республика корея,pos
северный пацифика,кндр,pos
северный пацифика,тихоокеанский регион,pos
северный пацифика,дэвид дьюит,neg
северный пацифика,азия,neg
северный пацифика,north pacific cooperative security dialogue – npcsd,neg
северный пацифика,дьюит,neg
северный пацифика,сша,neg
северный пацифика,атр,pos
северный пацифика,чукотка,pos
северный пацифика,тихий океан,pos
северный пацифика,тайвань,neg
северный пацифика,корея,pos
северный пацифика,европа,neg
северный пацифика,япония,pos
северный пацифика,рк,pos
северный пацифика,восточный,neg
северный пацифика,колыма,pos
северный пацифика,канада,pos
северный пацифика,сва,pos
еаэс и экономический пояс шёлковый путь,пекин,pos
еаэс и экономический пояс шёлковый путь,ес,neg
еаэс и экономический пояс шёлковый путь,россия,neg
еаэс и экономический пояс шёлковый путь,ва,pos
еаэс и экономический пояс шёлковый путь,москва,neg
еаэс и экономический пояс шёлковый путь,сва,neg
да и термин,сп,pos
да и термин,ес,pos
да и термин,ва,pos
да и термин,атр,pos
да и термин,сва,pos
камчатка,сп,neg
камчатка,аляска,pos
камчатка,ес,pos
камчатка,амур,pos
камчатка,ва,pos
камчатка,азия,pos
камчатка,чукотка,neg
камчатка,европа,neg
камчатка,колыма,neg
азиатский государство,сп,pos
азиатский государство,ес,neg
азиатский государство,россия,neg
азиатский государство,советский союз,pos
азиатский государство,ва,pos
азиатский государство,китай,neg
асеана,ес,pos
асеана,ва,pos
асеана,азия,pos
асеана,восточный,pos
арктика,рк,neg
арктика,восточный,pos
кнр,сп,neg
кнр,ес,pos
кнр,восток,neg
кнр,вьетнам,neg
кнр,россия,pos
кнр,индия,neg
кнр,ва,pos
кнр,республика корея,pos
кнр,кндр,neg
кнр,тихоокеанский регион,pos
кнр,южный азия,neg
кнр,азия,neg
кнр,сша,neg
кнр,тихий океан,pos
кнр,тайвань,neg
кнр,корея,neg
кнр,япония,neg
кнр,рк,pos
кнр,восточный,neg
кнр,канада,neg
кнр,сва,pos
сп,чили,pos
сп,министерство иностранный дело и внешний торговля,neg
сп,маньчжурия,neg
сп,си цзиньпин,neg
сп,пекин,pos
сп,аляска,pos
сп,диалог кооперативный безопасность,neg
сп,ес,neg
сп,половина эванс,pos
сп,восток,neg
сп,вьетнам,neg
сп,россия,neg
сп,индия,neg
сп,советский союз,pos
сп,австралия,neg
сп,ва,neg
сп,республика корея,neg
сп,афганистан,neg
сп,запад,neg
сп,китай,neg
сп,кндр,neg
сп,пакистан,pos
сп,тихоокеанский регион,pos
сп,дэвид дьюит,neg
сп,южный азия,pos
сп,шанхай,pos
сп,азия,neg
сп,north pacific cooperative security dialogue – npcsd,neg
сп,дьюит,neg
сп,сша,pos
сп,рф,neg
сп,атр,neg
сп,чукотка,pos
сп,тихий океан,pos
сп,тайвань,pos
сп,корея,neg
сп,джо кларк,neg
сп,европа,neg
сп,япония,pos
сп,рк,neg
сп,восточный,neg
сп,колыма,neg
сп,канада,neg
сп,сва,neg
чили,ес,pos
чили,россия,pos
чили,австралия,neg
чили,европа,pos
министерство иностранный дело и внешний торговля,ес,pos
министерство иностранный дело и внешний торговля,ва,pos
министерство иностранный дело и внешний торговля,канада,pos
центральный азия,дальний восток,pos
центральный азия,ес,pos
центральный азия,восток,pos
центральный азия,россия,pos
центральный азия,ва,pos
центральный азия,передний,pos
центральный азия,азия,pos
центральный азия,средний азия,pos
франсуа жипул,северный корея,pos
франсуа жипул,дальний восток,pos
франсуа жипул,ес,pos
франсуа жипул,восток,pos
франсуа жипул,ва,pos
франсуа жипул,корея,neg
франсуа жипул,япония,pos
франсуа жипул,сва,pos
северный корея,дальний восток,neg
северный корея,ес,neg
северный корея,восток,neg
северный корея,ва,neg
северный корея,корея,pos
северный корея,япония,pos
северный корея,северный корея,neg
северный корея,сва,pos
