first,second,ans
гарри трумэн,сша,pos
гарри трумэн,тегеранский конференция,pos
гарри трумэн,сталин,pos
гарри трумэн,советский союз,pos
гарри трумэн,рузвельт,pos
вашингтон,сша,pos
вашингтон,запад,neg
вашингтон,россия,neg
александр романихин,союз производитель нефтегазовый оборудование,pos
александр романихин,запад,pos
соединить штат,сша,pos
соединить штат,вто,neg
соединить штат,борис ельцин,pos
соединить штат,россия,neg
соединить штат,горный университет,neg
соединить штат,соединить штат,pos
соединить штат,schlumberger,neg
соединить штат,владимир литвиненко,neg
соединить штат,советский союз,pos
соединить штат,арктика,pos
сша,тегеранский конференция,pos
сша,сталин,pos
сша,москва,neg
сша,запад,neg
сша,борис ельцин,pos
сша,россия,neg
сша,сми,pos
сша,советский союз,pos
сша,рузвельт,neg
тегеранский конференция,сталин,pos
тегеранский конференция,советский союз,pos
тегеранский конференция,рузвельт,neg
рф,путин,pos
рф,запад,neg
рф,rauma repola,neg
сталин,советский союз,pos
сталин,рузвельт,neg
ссср,арктикморнефтегазразведка,neg
ссср,запад,neg
ссср,координационный комитет по экспортный контроль,neg
ссср,советский союз,pos
ссср,московский совещание,neg
ссср,амнгр,pos
ссср,северный ледовитый океан,neg
московский международный экономический совещание,советский союз,pos
новатэк,тэк,pos
новатэк,dsme,neg
новатэк,объединить судостроительный корпорация,pos
москва,игил,pos
москва,запад,pos
москва,сми,neg
москва,украина,pos
москва,сирия,neg
арктикморнефтегазразведка,амнгр,pos
арктикморнефтегазразведка,северный ледовитый океан,pos
вто,россия,pos
джеймс бейкер,россия,neg
джеймс бейкер,андрей козырев,pos
джеймс бейкер,индия,neg
джеймс бейкер,gslv mk,neg
союз производитель нефтегазовый оборудование,запад,neg
игил,запад,neg
игил,сми,neg
игил,украина,pos
игил,сирия,neg
советский союз отрасль,сми,pos
советский союз отрасль,советский союз,pos
путин,запад,neg
путин,россия,pos
путин,владимир путин,neg
путин,крым,pos
запад,россия,neg
запад,владимир путин,neg
запад,китай,pos
запад,сми,neg
запад,индия,pos
запад,украина,neg
запад,сирия,neg
запад,крым,neg
координационный комитет по экспортный контроль,советский союз,neg
valmet,советский союз,pos
valmet,foster wheeler petroleum development,neg
нато,европа,pos
нато,великобритания,pos
россия,владимир путин,neg
россия,андрей козырев,neg
россия,китай,pos
россия,тэк,neg
россия,индия,pos
россия,gslv mk,neg
россия,крым,pos
владимир путин,крым,neg
андрей козырев,индия,neg
андрей козырев,gslv mk,neg
европа,великобритания,pos
сергей григорьев,сми,pos
горный университет,schlumberger,neg
горный университет,владимир литвиненко,pos
горный университет,арктика,pos
китай,индия,neg
schlumberger,владимир литвиненко,pos
schlumberger,арктика,neg
владимир литвиненко,арктика,pos
тэк,dsme,neg
тэк,объединить судостроительный корпорация,pos
сми,советский союз,pos
сми,украина,pos
сми,сирия,neg
индия,gslv mk,neg
советский союз,foster wheeler petroleum development,neg
советский союз,советский союз,pos
советский союз,рузвельт,neg
украина,сирия,neg
dsme,объединить судостроительный корпорация,neg
амнгр,северный ледовитый океан,pos
