first,second,ans
belarus,vitryssland,neg
belarus,ryssland,neg
belarus,россия,neg
belarus,dn,neg
москва,евросоюз,pos
москва,белоруссия,pos
путин,запад,neg
путин,евросоюз,neg
путин,изоляция запад,pos
путин,лукашенко,pos
леонид зайко,россия,neg
леонид зайко,минск,neg
леонид зайко,стратегия,neg
нина железнов,лукашенко,neg
запад,россия,neg
запад,изоляция запад,pos
запад,лукашенко,neg
евросоюз,россия,neg
евросоюз,белоруссия,pos
евросоюз,лукашенко,neg
александр лукашенко,александр лукашенко,pos
александр лукашенко,белоруссия,pos
александр лукашенко,лукашенко,neg
vitryssland,ryssland,neg
vitryssland,россия,neg
vitryssland,dn,neg
белтрансгаз,россия,pos
белтрансгаз,белоруссия,pos
скурко,европа,neg
скурко,белоруссия,pos
скурко,лукашенко,pos
скурко,андрей скурко,pos
ryssland,россия,neg
ryssland,dn,neg
россия,киргизия,pos
россия,изоляция запад,pos
россия,связь,pos
россия,dn,neg
россия,армения,pos
россия,белоруссия,pos
россия,лукашенко,pos
россия,советский союз,neg
россия,минск,neg
россия,таможенный союз,neg
россия,стратегия,neg
россия,казахстан,pos
киргизия,армения,pos
киргизия,белоруссия,pos
киргизия,таможенный союз,neg
киргизия,казахстан,neg
изоляция запад,лукашенко,pos
европа,белоруссия,pos
европа,лукашенко,neg
связь,белоруссия,pos
озерицкий агро,молочный ферма,neg
армения,белоруссия,pos
армения,таможенный союз,pos
армения,казахстан,neg
белоруссия,лукашенко,pos
белоруссия,андрей скурко,pos
белоруссия,советский союз,pos
белоруссия,таможенный союз,pos
белоруссия,казахстан,pos
минск,стратегия,pos
таможенный союз,казахстан,neg
