first,second,ans
андрей громыко,женева,pos
андрей громыко,джордж шульц,pos
соединить штат,ссср,pos
соединить штат,серж моск,neg
соединить штат,арктика,pos
соединить штат,цк,pos
соединить штат,советский союз,pos
соединить штат,кнр,neg
соединить штат,франция,pos
соединить штат,ес,neg
соединить штат,куб,neg
соединить штат,россия,neg
соединить штат,разработать,neg
соединить штат,америка,pos
соединить штат,закон магнитский,neg
соединить штат,соединить штат,pos
соединить штат,впк,neg
соединить штат,высоцкий,neg
соединить штат,великобритания,pos
соединить штат,кремль,neg
соединить штат,сирия,neg
соединить штат,северный ледовитый океан,neg
соединить штат,вашингтон,neg
соединить штат,сша,pos
соединить штат,москва,neg
соединить штат,путин,neg
соединить штат,прибалтика,pos
клинтон,ес,pos
клинтон,россия,neg
клинтон,белый дом,pos
ссср,хельсинкский акт 1975 год,pos
ссср,кеннеди,neg
ссср,совет безопасность,pos
ссср,андропов,neg
ссср,западный берлин,neg
ссср,цк,pos
ссср,карибский кризис,neg
ссср,ес,neg
ссср,русский,neg
ссср,германия,neg
ссср,россия,neg
ссср,женевский переговор,neg
ссср,седан,neg
ссср,америка,pos
ссср,организация,pos
ссср,кпсс,neg
ссср,запад,neg
ссср,фрг,pos
ссср,вашингтон,neg
ссср,сша,pos
ссср,берлинский стена,neg
ссср,москва,neg
ссср,прибалтика,pos
ссср,джон кеннеди,neg
ссср,европа,neg
ссср,юрий андропов,pos
ссср,феномен,pos
ссср,оон,pos
пво,москва,neg
лондон,франция,pos
лондон,нато,neg
михаил саакашвили,абхазия,neg
михаил саакашвили,саакашвили,neg
михаил саакашвили,южный осетия,pos
обсе,россия,neg
обама,ес,neg
обама,владимир путин,neg
обама,белый дом,pos
обама,путин,neg
хельсинкский акт 1975 год,сша,neg
хельсинкский акт 1975 год,европа,pos
easi,мюнхенский конференция доклад,neg
easi,ес,neg
easi,мюнхенский конференция,neg
полый нитце,ес,neg
полый нитце,америка,neg
британский,ес,neg
британский,германия,pos
британский,осв,neg
британский,французский империя,pos
британский,вашингтон,pos
британский,москва,neg
парижский хартия,ес,neg
парижский хартия,парижский процесс,pos
парижский хартия,париж,pos
парижский хартия,европа,pos
верховный совет,россия,neg
верховный совет,ельцин,neg
конев,ес,pos
конев,сша,neg
конев,берлинский стена,pos
марсель пруст,ес,pos
кеннеди,западный берлин,pos
кеннеди,анатолий добрынин,pos
кеннеди,запад,pos
кеннеди,фрг,neg
кеннеди,берлинский стена,pos
кеннеди,москва,pos
кеннеди,роберт кеннеди,pos
кеннеди,нато,pos
кеннеди,джон кеннеди,neg
срю,ес,neg
срю,россия,neg
срю,москва,neg
срю,нато,neg
срю,основополагающий акт,pos
совет безопасность,россия,neg
совет безопасность,седан,neg
совет безопасность,организация,pos
